Cleaned_Dialogue,Song Recommendations
know know think making big deal ok pay bills little late month maybe next month cut back things maybe start eating joeys refrigerator change youre chef make backing soda beer,It's My Life
ok worse case scenario iswe borrow money parents,It's My Life
borrowing money,New Rules
dont bings theres one thing father taught well always knock going pool house thing never borrow money,The Pot
phoebes apartment mike phoebe seem finished watching movie television,Pumped Up Kicks
havent home couple days need get clothes,Far Too Young to Die
ohyou dont go something fit,The Ballad of Mona Lisa
put tube top joke,Immigrant Song - Remaster
want stay ive gone bad much use boxers,Far Too Young to Die
dont turn inside ou,Chop Suey!
ill miss,Plastic Heart
mean hate going back apartment partly live known crack den mostly im really miss want move together,Setting Fires
ive always wanted live guy pick socks put toilet seat sex anymore gonna fun,Body Moves
listeni need know im ask never get back chandler,New Rules
aww dont know monica yknow erm lending friends money always mistake,Build God
chandler lent money,Beautiful Alien (feat. AI AM) - Radio Edit
think would tell mistake,Don't Let The Light Go Out
come oni need rent andand bills,Middle Of A Breakup
ohhow much,Don't Panic
two thousand dollars think soap opera star,Duality
oowhats bag,Collar Full
oh er well know emma started crawling realised place unsafe baby went store got stuff babyproof apartment,Not Afraid
ohbabyproofing big deal yknow kid like whoops joey fell stairs er whoops joey electrocuted huh,Bad Liar
anyway erm going get handyman install stuff,Bleed
monicawould please tell joey pig,Duality
youre pig cant,B.Y.O.B.
wha come found hardware store,New Rules
central perk ross chandler monica sitting couch phoebe mike enters,Alors on danse - Radio Edit
im gonna go bathroom,Lose Yourself
okay well put toilet seat,Kaer Morhen
uh huhwere playing two,Astronaut In The Ocean
dont tell dont,The Pot
phoebe idea conventional,Immigrant Song - Remaster
know guess oh god load volvo want soccer mom,Enemy (with JID) - from the series Arcane League of Legends
dont meangroomy,Sugar
joeys apartment rachel fiddling drawer,Toxicity
central perk chandler sits couch joey sits round table,Young Dumb & Broke
listen eri need ask favor cant tell monica anything,Cirice
thought didnt secrets monica,Chop Suey!
mean know,Chop Suey!
err figured know mean youre working economy bad,Painkiller
anyway err need borrow money,Bleed
oh sure much two thousand dollars,Immigrant Song - Remaster
cant believe tell money problems,The Hills
oh wasnt wasnt money problems something,Rolling in the Deep
would get two thousand dollars wouldnt tell,Sugar
excuse,Free Bird - Edit
boob job,Smooth Criminal - 2012 Remaster
dont want get boob job thats crazy,All We Know
phoebes apartment phoebe mike packing stuff,Alors on danse - Radio Edit
well hey wanna ask monicas little groomy joke,LA Devotee
get joke sophisticated thing wanna say maybe talked us living together youre expecting proposal right,Attention
mean,Chop Suey!
first marriage know disaster kind lost faith whole idea,Middle Of A Breakup
really bad,Kaer Morhen
one point near end deliberately defecated,Heaven and Hell - 2008 Remaster
ok well thats bad dont think might different someone else perhaps blonde always uses toilet except ocean,Toxicity
look would marry certain first time got married would last forever totally wrong,Middle Of A Breakup
look phoebe never wanna get married,All We Know
im sorry ok cause notmaybe us moving together isnt best idea,Sign of the Times
definitely dont wanna get married wanted make sure didnt want whew coz know move start changing mind theres gonna hell pay mister,Nightmare
trust never,Whatever It Takes
joeys apartment rachel flipping magazines handyman installing things monica enters,Psychosocial
gave decided call someone,Bad Liar
yeah dont know kidding barely use chopsticks,Toxicity
dont look never get jokes,Bad Liar
oh nodont thank thank know theres one thing would change one single thing definitely two single things,Young Dumb & Broke
ok youre wierd want sex something bad,Toxicity
well yes yes look nice mean face looks nice want compliment body meani wouldnt change specifically wouldnt want anything get bigger,Bad Liar
mean wouldnt want part get bigger would dont answer,Painkiller
thought dude couldnt get wierder,Immigrant Song - Remaster
know think worried getting bigger,Bleed
dont know mean brought,Chop Suey!
oh god trying get pregnant hes probably starting freak fact body going change,Heaven and Hell - 2008 Remaster
heard bigger youre perfect dont get bigger oh god sounded like high school wrestling coach know im going talk chandler,Needled 24 / 7
listen wanted ask something marriage,Dance Off (feat. Idris Elba & Anderson .Paak)
oh great youre seeking make jokes mean see hanging come home,Friction
noi really wanted know feel,Hotel California - 2013 Remaster
never,Immigrant Song - Remaster
never,Don't Let The Light Go Out
want want tell marriage isnt really big deal know wont wont missing anything marriage stinks,All We Know
yeah marriage stinks mean wanna see man gain weight woman stop shaving get married,B.Y.O.B.
im sorry look dont think thats wanna hear right cant help love marriage,Middle Of A Breakup
seriously divorceo,Ain't No Rest for the Wicked
call name prefer ross divorcer cooler look,Can't Hold Us (feat. Ray Dalton)
divorcer rescue,E1 (3x3)
cooler,Don't Panic
yeah hurt,Ain't No Rest for the Wicked
joeys apartment joey enters carrying tub ice cream sets table takes jacket struggles drawer cannot opened,Bleed
honey dont,Sarah Smiles
argh fascist,Duality
well breasts going get bigger weather like know breasts ass going get bigger,The Pot
ass,Unsainted
god would want,I Don’t Wanna Live Forever (Fifty Shades Darker)
oh god chandler cant handle going like hospital blood screaming little present thats shooting,Monster
joeys apartment hes prying open drawer crowbar avail monica rachel chandler enter,Viva Las Vengeance
joey tell chandler monica getting boob job,In Waves
joey chandler knows borrowed money,New Rules
mmmm hmm boob job,Body (Remix) [feat. ArrDee
overjoe,Eye For an Eye
ok im four thousand dollars nobodys boobs getting bigger,All We Know
well know day coffeehouse caught whole soccer mom thing really mean honestly picture volvo,Toxicity
awfully boxy,B.Y.O.B.
dont know youd bored marriage mean normal,Nearly Witches (Ever Since We Met...)
uh huh,Kaer Morhen
well erclimbed four flights stairs manueveored narrow hallway dodged rabid pitbul last three feet gets really tricky,Don't Threaten Me with a Good Time
know sometimes words hurt,Somebody That I Used To Know
one last time erm marriage thing theres wiggle room none,Chop Suey!
dont want get married either right,Toxicity
aaaaand hernia,Heaven and Hell - 2008 Remaster
havent exactly normal life never really felt missing anything feels turn regular stuff,Rewrite The Stars
wanna get married didnt say something,Chop Suey!
didnt know much wanted love wanted live,Really Love (feat. Craig David & Digital Farm Animals)
dont think ok move didnt know gonna happen cant move knowing nothing ever gonna happen,Build God
least try living together mean might change mind marriage,Whatever It Takes
neither think need someone wants want,Someone You Loved
dont want end,Sleepwalking
dont want end either,Free Bird - Edit
cant believe gonna end guess ill stuff packed,Wake Me up When September Ends
im sorry pheebs,Somebody That I Used To Know
joeys apartment joey struggling fridge finally gets open falls floor,Royals
nono,Toxicity
i’m soapie,Moves Like Jagger
oh god oh god can’t go i’m gonna nervous,Heaven and Hell - 2008 Remaster
kinda noise,Sugar
high pitched intimidating noise,Raining Blood
mr morse need talk midterm exam i’m afraidii fail,Middle Of A Breakup
well need 60 pass…,Toxicity
nono it’s whatwhat happened ned,Bleed
well i’m sorry thatthat’s really problem,Royals
oh god guy counter totally checking,Savage Love (Laxed - Siren Beat)
i’m saying get number case chandler inan accident can’t perform sexually would want take lover tosatisfy needs longer fulfill,Cirice
yeah maymaybe don’t tell anyone,Paranoid - 2012 - Remaster
it’s big deal shampoobottle,New Rules
you’ll definitely get onstage even don’t win,Moves Like Jagger
well course y’know favorite returning character atough category joey mean you’re guy survived cremation,Organ Variation
practice losing,Whatever It Takes
okay stop phoebe you’re getting tingly,Waterloo
oh haven’t feeling since first started going withchandler wow i’m never gonna feeling,Plastic Heart
guy would saying i’m never gonna get sleep withanyone else oh god i’m never gonna get sleep anyone elsei’ve busy planning wedding forgot things thati’d giving mean,Pull Me Under
ask something ever guy crush,LA Devotee
ross boyfriend,Señorita
itit—the point natural charisma made fail midterm,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
oh see feel bad kid crush teacher andit hard y’know you—i couldn’t concentrate blushed every timehe looked mean come remember what’s it’s like 19 inlove,Take Me Home
yeah guess cut slack,In Waves
didn’t got,Dance Off (feat. Idris Elba & Anderson .Paak)
see that’s mean mean,New Rules
know god speech,Dance Off (feat. Idris Elba & Anderson .Paak)
got gracious loser face,Painkiller
joey rush fast,Paranoid - 2012 - Remaster
oh god stole award,Unsainted
joey don’t think know behalf means,New Rules
should’ve one really want shedidn’t even care enough come thing could also,Hurricane
come rach one saw take whole table full of‘em,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
really want award didn’t win,Toxicity
know didn’t well midterms stuff kindahoping could change grade,Middle Of A Breakup
he’s he’s totally yanking chain he’s donethis three teachers,Duality
can’t believe someone would grade,B.Y.O.B.
‘cause keeping thinking things i’mnot gonna it’s freaking don’t know,Cirice
gotta help pheebs,New Rules
i’m supposed share doubts fears guyi’m gonna spend rest life,Monster
woman got married bunch times killed youwere 13,Build God
cannot believe i’m gonna meet jessica ashley,Blinding Lights
well thatthatthat’s you’re gonna you’re gonna putit self anything,Toxicity
you’re wrong centerpieces fine ever get scared atall,Monster
see first meet somebody it’s uh it’s mostlypanic anxiety great deal sweating,Cirice
sleeping somebody new anxiety panic i’m afraid evenmore sweating,Sign of the Times
even,Speed of Sound
well yeah know you’re thoughtsi’m back panic anxiety uh i’m definitely gonna need kind sportsdrink,Cirice
uhhmm yeahyeah like dodo looove want toknow i’m changing grade back,MONEY
i’m trying pull anything look love dude,MONEY
y’know ii’m even gonna talk okay thislittle thing,Build God
rach,Heaven and Hell - 2008 Remaster
okay honey finish later we’re gonna late gottago,Safe To Say
please don’t play music uh one,Rain
oh yeah let finish,Astronaut In The Ocean
uh uh well internet company went lost ear boating accident,Middle Of A Breakup
bet shed sleep,The Ballad of Mona Lisa
already emailed,Astronaut In The Ocean
know im gonna finish later ok let grab coat,Royals
think made clear cannot trusted ball inside house,Duality
crawling around found let sleep thats right isnt,Calm Down
breaking sucks oh really miss mike,November Rain
oh im sorry,Nothing Else Matters
youre gonna need help,I Dunno (feat. Dutchavelli & Stormzy)
well get point know im ready hear cruel mocking jokes mike im gonna come,New Rules
ok mean know right thing know mike never wants get married shouldnt relationship future pretty soon im gonna miss much im gonna wanna see stop,Bohemian Rhapsody
test failed,Somebody That I Used To Know
damn rookie mistake,Symphony Of Destruction - Remastered 2012
cares nobody reads things,All We Know
dont page,Toxicity
okay okay rach put scrunchy,Hall of Fame (feat. will.i.am)
oh oh thanks alright well im im going go bathroom,Don't Panic
told everyone slept dinosaurs,Sugar
posting died really isnt funny,Middle Of A Breakup
oh please hit blimp,Hall of Fame (feat. will.i.am)
kills one americans every year,Blackwater Park
unbelievable classmates gonna think im dead professors parents gonna get phone calls youre messing peoples feelings,Middle Of A Breakup
wanna talk peoples feelings heard hurt professor stern yesterday told wouldnt able go key west,Wrong
god wish mike,Running Up That Hill (A Deal With God)
gotta call talk theres harm,You Just Haven't Thought of It Yet
cellphone,Toxicity
phoebe wheres purse,Bleed
ill go,There's a Good Reason These Tables Are Numbered Honey
damn monica geller hyphen bing,B.Y.O.B.
oh know little girl little pink pony named cotton oh loved much took everywhere would braid tail,Everglow
concerned button fell old hugsy cant find,Then We'll Talk
yeah think wants old one back,Bad Liar
know lot less surprising ive buzzed building,I Write Sins Not Tragedies
phoebe mens shoes door,Toxicity
oh get breakup need go shopping,Running Up That Hill (A Deal With God)
chances 1 billion chinese people send mike,Duality
im sorry broke wanted see,Mr. Brightside
damnit phoebe even call,Sugar
speakerphone base unit,Hall of Fame (feat. will.i.am)
base unit think monica think,New Rules
oh sorry guess thrown mention name,Sugar
look guys cant going make getting much harder,Middle Of A Breakup
nothing happens cant cant hang friends,Violet Hill
actually ive playing lot love songs lately ive missed,Kaer Morhen
ive missed,Til Kingdom Come
know way saw drunk guy throw pigeon ate,Beautiful Alien (feat. AI AM) - Radio Edit
huh thats would look like worked serviced policeman youre actually going send ya,Chop Suey!
ehactually dont need little ross dead joke didnt work,New Rules
talking get sixty responses coming closet didnt get one response im dead,Ain't No Rest for the Wicked
well gay community lot vocal dead community,Bleed
alright look lets think ok really think people gonna stir family tragic time people gonna post condolences website people caring youre dead people decent outlet grief,Middle Of A Breakup
youre right isnt decent outlet,I Bet My Life
right mean come im sure funeral memorial service tons people would come,Whatever It Takes
would stupid youre,Sugar
ross dont press send dont press se,Monster
oh late late sent oops sorry picture police man,I Bet My Life
im trying put emma nap seen hugsy,Far Too Young to Die
original crappy,All We Know
sorry havent seen,Don't Panic
whats big lump covers,Beautiful Alien (feat. AI AM) - Radio Edit
shes unreasonable,Symphony Of Destruction - Remastered 2012
alright two im gonna go bathroom dont want anything going im gone heres things discuss mucus fungus idea ross,Build God
ive missed much im gonna ask get back together know want different things one night,Mr. Brightside
know want going make hard,Rain
didnt hear speech dont kiss,Sugar
oh crap,Monster
excuse,Toxicity
hey least knew guy,One of the Drunks
didnt hear speech,Toxicity
youre weak,Hurricane
youre weird,Build God
pants undone,All We Know
damn,Unsainted
oh blew blame,I Bet My Life
blame,Duality
hour one classmates shown tell actually die people gonna get seriously haunted,Are You Dead Yet?
thanks uh im sorry ross,Somebody That I Used To Know
oh actually barely knew yeah came heard chandlers news dyou know hes seeing anyone,Don't Panic
oh ask personal question hohow shave beard close,Rock You Like A Hurricane
please one ridiculous problem time,Painkiller
isnt ridiculous look around ones,B.Y.O.B.
gave one days notice everyone class checks web site everyday monica probably way stand,Bleed
yes youre right still somebody must seen mean went school 4 years didnt impact anyone,All We Know
chandler chandler bing im gay im gay,Royals
cant believe ross gone sad,Daddy
didnt know ross close,Toxicity
thought many times calling asking guess really missed chance,Someone You Loved
hear kori weston crush,Savage Love (Laxed - Siren Beat)
justplease tell,New Rules
shut,Symphony Of Destruction - Remastered 2012
im sorry onetimething drunk wassomebody elses subconscious,Middle Of A Breakup
dont know wearing,Bad Liar
pheebs would want operate drill press,Chop Suey!
shorttermwork know get back mymassage clients,It's My Life
pirates,Immigrant Song - Remaster
could could,Starboy
well know phoebs dont know kinda thing becauseit involves lot normal large portion day,Bleed
hell paleontologist need beeper,Then We'll Talk
like dinosaur emergencies help come quick theyre stillextinct,American Idiot
carol goes labor get wherever imean dial 55jimbo,Dance Off (feat. Idris Elba & Anderson .Paak)
whoa manchild problem old,Heaven and Hell - 2008 Remaster
course even issue cause told 22,New Rules
oh cant pass 22,New Rules
well maybe 2526,I Dunno (feat. Dutchavelli & Stormzy)
see thatll stop pick phone,It's My Life
touch mon dont understand mean youve dating thisguy since like midterms mean sudden oh,Toxicity
shave legs,Beautiful Alien (feat. AI AM) - Radio Edit
aha,Immigrant Song - Remaster
would let go ross dream doesnt mean,Toxicity
didnt tell anybody knew,Don't Panic
noho doesnt like,Rain
everyone except uh everyone,Chop Suey!
dont feel bad know used like lot gotpromoted know youre like mr boss man know,Ain't No Rest for the Wicked
know like uh okay uh could report,Toxicity
dont sound like,Toxicity
telling like nine thought thatgunpoint actual place crimes happen,Nearly Witches (Ever Since We Met...)
unless,I Dunno (feat. Dutchavelli & Stormzy)
uh ah unless wanna stay mean im going,Bleed
uuh get stayingoverstuff somethingyou know,Bleed
well somewhere see strictly technicalsense course im uh well mean havent ever uh,Build God
virgin,Bleed
oh god dont tell wrong,Build God
huh,Chop Suey!
figured know shouldnt change anything mean whatthe hell matter old,Astronaut In The Ocean
uh listen um long telling stuff uh anotherone im little younger said,Sugar
oh im senior high school,I Made It
wrong oh god sex somebody wasntalive bicentennial,All We Know
well thats different lie didnt make one us felon 48states thinking,Friction
wasnt thinking busy fallin,Ain't No Rest for the Wicked
wellfall know shouldnt even schoolnight oh god oh god im like women see shiny guys named chad imjoan collins,Middle Of A Breakup
forget,B.Y.O.B.
thereuh huh huh huh andybody anybody else,Chop Suey!
youre sure nobody uh handed uh mints anything,Attention
times wasnt even,Heaven and Hell - 2008 Remaster
mon ethan called mon,Chop Suey!
know sometimes things doesnt work,Build God
nothing fact needs note getout gym,Bleed
didnt say sw say anything swear hestopped,Paranoid - 2012 - Remaster
listen next time talk ask one thestrongest,New Rules
tyrannosaurus,Beautiful Alien (feat. AI AM) - Radio Edit
um oh ive got birthday party work people,Someone In The Crowd
work people nobody told,Toxicity
know dont get month ago people friendsyou know im charge doesnt mean im different person,Chop Suey!
dont get,Bleed
uh uh,Bad Liar
arent gonna,Chop Suey!
oh carol new system punches 911 means sheshaving baby otherwise ignore,Whatever It Takes
oh well morning got call think cousinnathan frankly little needed know,Immigrant Song - Remaster
theyre already,Cirice
whats problem,Astronaut In The Ocean
ethan um icky,Then We'll Talk
icky youre actually gonna throw away icky,Build God
isnt easy either wish things different youwere years older years younger lived biblical timesi would really,November Rain
youre hands still wet,Bad Liar
uh moist yeah,Pumped Up Kicks
lets dry em,A Million Dreams
uh like could margaritas,Wrong
thanks listen weekly numbers im gonna need mydesk,Astronaut In The Ocean
problem,Hall of Fame (feat. will.i.am)
ooh ooh,Savage Love (Laxed - Siren Beat)
dont know phone,Toxicity
im hurt,Ain't No Rest for the Wicked
monica lets go come people woman labor,Dance Off (feat. Idris Elba & Anderson .Paak)
going hospital,Heaven and Hell - 2008 Remaster
cant lokk nice might doctors,B.Y.O.B.
joey get fridge,Bleed
okay hating,B.Y.O.B.
go pheebs else wants one special homemade brownies,Alors on danse - Radio Edit
see problem invisible dentists,Toxicity
can’t go,Politik
every time go dentist somebody dies,Heaven and Hell - 2008 Remaster
weird every time go dentist look downthe hygienist’s blouse,Toxicity
phoebe ummwhat,Toxicity
yeah yeah first aunt mary umm johnmy mailman cowboy friend ‘albino bob’,Party Monster
people actually died,Don't Let The Light Go Out
yes chair that’s take good care ofmy teeth yknow it’s oral hygiene floss save lives,Rock You Like A Hurricane
pheebs come didn’t kill anybody people happenedto die went dentist it’s it’s it’s ah acoincidence,Toxicity
well tell oh can’t dead,The Hills
oh like don’t already everything,Royals
phoebe pain would go dentist go,Psychosocial
right fine fine you’re next victim don’tcome back poltergeist like suck tv set,Paranoid - 2012 - Remaster
guys joey saw janice kissing exhusband,Sugar
well thinking think best way would tonot,Bad Liar
joey can’t keep know youhave tell,I Write Sins Not Tragedies
it’ll kill mean it’ll it’ll kill,Cirice
well could wait ‘til go dentist maybe,Attention
okay problem go work hours kidsmessed homo sapien display,I Write Sins Not Tragedies
well painted word ‘sapien’ one thing thenthey rearranged figures let’s leave,Bad Liar
whoa wait hello,Pull Me Under
i’ve got science question,Bonfire
hmm,Free Bird - Edit
homo sapiens fact ‘homosapien’ whythere extinct,Build God
joey homo sapiens people,Hall of Fame (feat. will.i.am)
oh god well push push,Hail to the King
okay we’re gonna need distraction,LA Devotee
could put hat head,Alors on danse - Radio Edit
hat yes need hat,Sandstorm
need hat,Bad Liar
oh god oh god it’s sowed though,Paranoid - 2012 - Remaster
oh it’s like bloodbath today,Laid to Rest
hey hold minute hold second think pearls arenice,Cotton Eye Joe
janice’s birthday coming want get somethingspeacial come,Someone In The Crowd
whoa whoa whoa wait whoa ah want get somethingspeacial get flowers get candy get gum girls love gum,Fivio Foreign & Darkoo]
oh want something serious yknow gether one um barium enemas dead serious,Bad Liar
okay went ‘mattress king’ showroom sawjanice kissing exhusband,All We Know
well wouldn’t she’s she’s withme,Location
yeah well you’re wrong okay you’re wrong,Symphony Of Destruction - Remastered 2012
i’m wrong wish i’m sorry bet barium enemadoesn’t sound bad huh,Middle Of A Breakup
see pheebs promised one would die didn’t,Titanium (feat. Sia)
yeah well we’ll see use phone justwanna call everyone know,Animals
oh god said name hear,We Are Young (feat. Janelle Monáe)
monica bang,Hotter Than Hell
say ‘monica bang’,Chop Suey!
uhhuh,Don't Panic
oh god he’s gonna rat,Monster
ah don’t know tell anything ah wanna tell mebecause ah would tell,Toxicity
eyes white,Heaven and Hell - 2008 Remaster
tell maybe it’s fooling exoh nononono nononono,Chop Suey!
oh god,goosebumps
whwhwhy whwhy kissing nokissing,Duality
don’t know,Bad Liar
okay ben won’t tell daddy ice cream fordinner don’t tell little bonking incident,Heaven and Hell - 2008 Remaster
oh that’s right that’s i’d sound like iexploded,Sugar
woohoo curse broken called everybody know everyone isalive,Alors on danse - Radio Edit
uh,Toxicity
oh god killed killed another one curse gettingstronger bring something big,Nightmare
well maybe he’s taking nap,Whatever It Takes
i’m tellin’ ya hasn’t moved since morning,Royals
tell naked guy stare time isn’tmoving,Bleed
hey yknow ah save chopsticks reason get whenwe get chinese food,Alors on danse - Radio Edit
well we’re fashioning long poking device,Smooth Criminal - 2012 Remaster
oh god going back,Schism
don’t know yknow would,Toxicity
well doesn’t matter would,Bad Liar
kid together yknow they’re like they’re like afamily don’t know there’s chance could make work know iwouldn’t want guy stood way okay wannaah come poke nude guy,Ain't No Rest for the Wicked
well he’s finally alseep ah bump head,Pumped Up Kicks
sure it’s ah new bump mean nooffense i’ve always thought ben fairly bumpy headed child,Bad Liar
watched watched watched monica bang head againstthat thing,Nightmare
umm notice anything wierd ben today,Heaven and Hell - 2008 Remaster
well playing yknow alphabetsong used really good suddenly he’s leaving ‘e’and ‘f’ it’s like ah don’t know fell head,Build God
i’ll get hat,Boss Bitch
janice something need tell want let meget it’s it’s it’s gonna easy,Middle Of A Breakup
think go back gary don’t wanna guythat breaks family yknow parents split guywhenever would see always think yknow ‘you’re reason arethe reason together’ hated guy didn’t matterhow nice happy made dad,I Don’t Wanna Live Forever (Fifty Shades Darker)
don’t leave,Politik
forget said babbling pick,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
don’t say give divorceanother chance,Whatever It Takes
ohhh don’t go,Pt. II
can’t leave shoe,Paranoid - 2012 - Remaster
i’m telling he’s dead adead fat guy stick,All We Know
yet we’re still poking,Toxicity
okay retract device retract device,Don't Threaten Me with a Good Time
heyhey he’s showing us poking device,Beautiful Alien (feat. AI AM) - Radio Edit
we’re gonna paint sword replace abaguette,Cake By The Ocean
oh nonono it’s one night week plus get take allof,Orinoco Flow
nono don’t think heard ready,New Rules
nooo gandolf gandolf coming town,Trndsttr
kathy’s parents nothing tomorrow weare partying gandolf dude,Blinding Lights
i’m gonna call get work tomorrow,Thunder
gonna soo cool dude never party anymore,Bonfire
right guys smoking something back van,Sugar
really mean never fun anymore fun withme remember time saw strippers paid 50 bucks eat book,Flashback
oh uh joanna wondering could ask somethingthere’s opening assistant buyer junior miss…,Don't Start Now
well actually meant hiring committee meeting peopleall day and…,No Time for Caution
oh well wish could say can’t stay assistantforever neither sophie different reasons,Middle Of A Breakup
god glad don’t problem ifyou wouldn’t even,Party Monster
know junior miss started oh sleep,Kaer Morhen
oh man excited—i may vomit,LA Devotee
look don’t understand gandolf amazing y’knowyou’re never know what’s gonna end happening go couple ofbeers end fishing boat nova scotia,Enemy (with JID) - from the series Arcane League of Legends
whoawhoawhoa,Beautiful Alien (feat. AI AM) - Radio Edit
whoawhwhwhoawhoawhoawhoa,Immigrant Song - Remaster
audition i’ll definitely hook later whereare gonna around noon,Dance Off (feat. Idris Elba & Anderson .Paak)
he’s gonna make he’s stuck chicago,Middle Of A Breakup
stupid useless canadian money,Symphony Of Destruction - Remastered 2012
well uh theythey,Build God
ohh oh chelsea reporter ohh used keep warm,Roots
hey don’t pay penny word make friends,Royals
ooh gotta go found guy could fix van forcatering,Thunder
nono it’s okay sure don’t want waterbed,ZT (3x3)
haven’t made decision,Bad Liar
bye,Alors on danse - Radio Edit
oh god,goosebumps
could hang,B.Y.O.B.
couldn’t eat five friends couldn’t eat andone eats books,Toxicity
well service grossly incompetent,Astronaut In The Ocean
waiter carried breadsticks pants,Bleed
right i’ll retract stand review know foodand wasn’t you’re marinara sauce tasted like tomato juice shouldserve vodka piece celery,B.Y.O.B.
oh god italian restaurant think tastesgood even,Radioactive
hand tomatoes i’m gonna show tastelike come hand,The Ballad of Mona Lisa
long gonna take ‘cause got another critic goyell,New Rules
rachel please don’t make scene,Royals
there’s nobody,2 MUCH (feat. 24hrs)
she’s making uncomfortable,Free Bird - Edit
want quit,New Rules
waitwaitwaitwait put sad little muffin back init’s drawer must know truth didn’t want lose perfectly goodassistant,Royals
drinking,Chop Suey!
oh must’ve said left,Chop Suey!
oh god ohh i’m leaving horribleperson,Duality
i’d need expense account,Starboy
can’t believe didn’t come,Middle Of A Breakup
didn’t come still go party,Levitating
we’ll better look tonight gandolf wantto party us dude come,Moves Like Jagger
it’s like don’t know party,Temperature
maymaybe could end boat,ME! (feat. Brendon Urie of Panic! At The Disco)
remember really cold morning woke dogs werelicking face,Everglow
hey mon little question ya think suit look onan assistant buyer,Dance Off (feat. Idris Elba & Anderson .Paak)
okay owner allesandro’s came yell butinstead made sauce offered job head chef,We Are Young (feat. Janelle Monáe)
oh god ruined thing practicing whole wayhome i’m soo happy,Blinding Lights
believe finally get run kitchen,Can't Feel My Face
ohh you’ve waited soo long,Blinding Lights
think suit would look assistant buyer,Smooth Criminal - 2012 Remaster
got job didn’t tell,Animals
we’ve one job,Bleed
know second one feels likeit’s snowballing y’know,Heaven and Hell - 2008 Remaster
you’re cook it’s driving topeople’s houses empty trays asking money,Royals
right umm iii’ll pay back money youinvested,Royals
don’t need wizard guy hit couple clubs talked tosome strangers uh we’ll head docks see thatboat thing,You Just Haven't Thought of It Yet
thank god i’m exhausted,Middle Of A Breakup
yeah uh don’t want late uh i’ll adecaf,I Write Sins Not Tragedies
actually get hot water little lemon think istrained voice screaming loud,B.Y.O.B.
can’t hear word you’re saying ears ringing bad,Toxicity
i’m glad brought extra pair socks y’know usedthem mittens didn’t want touch,Pumped Up Kicks
sad,Ain't No Rest for the Wicked
y’know we’re sad we’re sad we’rejust 21 anymore y’know i’m 29 years old damnit want sit acomfortable chair watch television go bed reasonable hour,Baby Blue - Remastered 2010
yeah like hang quiet place talk myfriends,I Feel It Coming
i’ve lot thinking lot umm well came upwith whole bunch businesses van okay umm could flowerdelivery person,Dance Off (feat. Idris Elba & Anderson .Paak)
bakery delivery person,Can't Feel My Face
wai wai wa…,Bad Liar
right i’ve got whole bunch uhuh stuff area butumm i’m getting feeling don’t want deliver,Bleed
okay i’m guessing don’t want deliver youprobably don’t want pick stuff either,Bleed
yeah that’s really want yeah don’t want bethe reason you’re unhappy would make unhappy,Middle Of A Breakup
joanna passed away last night,Somebody That I Used To Know
oh god,Raining Blood
well leaving work hit cab,Cirice
oh god oh cannot believe,Beautiful Alien (feat. AI AM) - Radio Edit
yesyes seconds she’d still us—nothingabout assistant buyer,Don't Panic
oh sophie guess didn’t hear joanna…,Schism
i’m excited monica come board usalthough feel bad fired chef emillio it’s like losing member ofthe family course,Really Love (feat. Craig David & Digital Farm Animals)
y’know seems like sudden much hashappened,Immigrant Song - Remaster
sit mean die way people would evenknow would ass print chair look somethingokay something huge,Middle Of A Breakup
nono something stupid something huge,There's a Good Reason These Tables Are Numbered Honey
nonononono saw ad video people climb thingeveryday could totally,Can't Hold Us (feat. Ray Dalton)
mean it’s it’s climbing it’sjust it’s steep,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
we’re going everest okay would nice leave assprint everest,Someone In The Crowd
whatwhat’s,Heaven and Hell - 2008 Remaster
really looked yeah mean costs like 60000 andy’know die would die,Paranoid - 2012 - Remaster
could get everest video though,Enemy (with JID) - from the series Arcane League of Legends
we’re video store know else couldrent,Thunder
yeeeeahhhh,Someone In The Crowd
i’ll tell something one days we’re get offof buts rent,Royals
don’t think i’d comfortable old loversthere,B.Y.O.B.
waitwaitwait think maybe shouldn’t invite,Monster
earl grey,2 MUCH (feat. 24hrs)
dont want single okay wanna marriedagain,Wrong
oh god monica hi went building werent andthen guy big hammer said might,Bonfire
know probably didnt know back high school aum major crush,Flashback
oh always figured thought monicas geekyolder brother,Heat Waves
oh listen think try let intense vulnerabilitybecome kind factor here—but think would okay asked youout sometime maybe,Heaven and Hell - 2008 Remaster
never gonna happen,I Bet My Life
hey question well actually much question asmore general wondering ment,Bad Liar
ohhh,Trndsttr
ow,Kaer Morhen
right listen missy want cart youre gonna totake,Royals
could done without,Blinding Lights
cause dont need stupid ship,Symphony Of Destruction - Remastered 2012
hey get okay get big time i’m happy yabut i’m tired relationship answering machine okay idon’t know anymore,Middle Of A Breakup
well neither,Symphony Of Destruction - Remastered 2012
don’t know don’t know urrrgh look maybe takea break,Toxicity
know we’re rushing,Nearly Witches (Ever Since We Met...)
say girlfriend,Dusk Till Dawn (feat. Sia) - Radio Edit
uhoh,Heaven and Hell - 2008 Remaster
don’t answer,Toxicity
