Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
can’t,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative
go home we’re gonna become bings can’tbe bings,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Negative
what’s wrong bings,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
bings horrible marriages yell fight usethe pool boy pawn sexual games,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Negative
chandler ever put black cocktail dress asked toyour hotel room,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
neither parents,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Negative
it’s marriage mean look look ateverybody’s person make marriage work paul newman andi’ve met paul newman don’t race cars don’t make popcornnone proceeds go charity,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
want love much i’m afr…it’s toohuge,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Negative
depends mean,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
know dusk that’s hard time,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
okay wait,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative
can’t go lunch,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
oh wait wait serious,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
oh wow okay don’t scare like okay mean minutethere like oh god worst happened,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Negative
would sooner die hellhole see back,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
let’s reset,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
got owwwwww,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Negative
course i’mi’m sorry ii’d hate missanything like account,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Negative
still rolling annnnd action,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
soso two married huh happened drift apart,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Negative
oh god monica,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
damnit,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
joey wedding less hour,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Negative
oh god i’m gonna find another minister,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
ugh joey go,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
go put tuxedo wasn’t scary,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
ross gonna run away want get little freshair,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
okay oh don’t tell monica’s pregnant theyfrown,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
don’t know greek orthodox,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
hehe umm we’re playing little game y’know hideand seek,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
can’t ask us son that’s cheating,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well better come can’t see bride inthe wedding dress,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
honey isn’t good luck,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh god monica,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
uhhuh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well you’reyou’re sweating,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
chandler’s gone,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh god would play hide seek someone know aflight risk,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
aaron gotta let go guy’s hammered,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Negative
i’m sorry joey long he’s he’sconscious we’re still shooting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
wouldn’t happen big fork,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
uh talked director that’s we’re donefor day,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
you’re getting away time mister unless want asskicking talked,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
hell,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative
don’t know,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
know what—if somebody doesn’t tell what’s going rightnow…,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
monica’s pregnant,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
well obviously didn’t see chucky 3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
may kiss bride guess powers vested thestate new york internet guys pronounce husband wife oh wait doyou take,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
aw crap okay—uh…uh let’slet’s rings,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Negative
phoebe found pregnancy test trash,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative
think learned sugarlips incident im gonna getsome tea,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
tonight dont say anything okay,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
told counter made promise tell icouldnt hold longer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Negative
ohhhh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative
like lot dont think im ready,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Negative
dont know ill handle it—ill ask talk,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
afraid commitment talk make himscared like make a…man,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
ill try im sure good would yknow ima lot less afraid commitment used,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
uhhuh thats call staten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
yeah realized halfhour ago didnt want sayanything cause didnt want jinx,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
right listen umm bought something im sure shes gonnalike gonna seem little crazy something wanted since iwas little girl,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Negative
noo wish okay ready,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
whatwhat,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Negative
hell,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Negative
excuse purebred showquality sphinx cat,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
right listen ball boys grandmother one alittle girl sweetest thing mean cute would sit lapand purr day long would drag shoestring ground would chase,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
free cats yknow reminds might get littlepolitical support local animal shelter pet shops,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Negative
uhh ball thing,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
uhh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
pee rachels bathroom,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
man didnt think gonna make,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
gary im report crime,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
crime dont spend time together,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
well heard thinking asking phoebe move withyou thought maybe talk man uh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
uh crazy insane live phoebe twoare gonna yknow liveliving together,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Negative
mean scared,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Negative
chandler whatwhat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
know cant wait,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
wow yknow say doesnt sound scary,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
yeah think yknow move move inwith right maybe monica,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
…now found remains mesozoic mastodon theydiscovered,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
maybe quiet game,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
dont know,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
know dont watch,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
guys could please stop throwing ball one minute andjust help find,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
oh dont know… yeah cant,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
monica whatever,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Negative
oh wow congratulations thats quite waste time,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
rach,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Negative
dont want cat,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
doesnt sound crazy paying thousand dollars cat,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
useless freaking commitment,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
uhhmm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
sweet dont think little soon meantheres much dont know,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
really dont want mess im just—im worriedits gonna big mistake,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Negative
four hours guys four hours,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
hes dropper,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
im dropper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
really uhuh three person game yknow,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
whoawhoa guys cat,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
baking didnt help huh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
dont take back got,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
maybe thats shes minion antichrist,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Negative
well said would would give store credit meanwhat going get thousand regular cats,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
yeah almost overreacted something,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
okay ill see station later,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
couldnt tell got sad maybe itll right,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Negative
heard people live together split cost ofstamps dont,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh im sorry oven mitts really freaked,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Negative
hey honey okay find apartments anything brooklynheights,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
nothing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
nothing,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
uhhuh,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
uh checked paper listings brooklyn heights rightyouyou checked,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
minute youyou checked todays,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
cause uh todays,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
phoebe okay feel way mean,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Negative
eew creepy looking,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Negative
thought wanted adopt cat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
well youre gonna actually look moreof investment cat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
im starving,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
come guys suck closing ten hours gutchecktime,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
im still hungry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
get money back,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
could breakfast bed…,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
wait second,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
phoebe 6 oclock morning arent garys,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
come garys great guy whatever problem canwork,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
thats terrible im sorry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
okay okay pretend didnt happen okay oneneeds know mean phoebes official ballplayer mean officialballplayers drop ball,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
phoebe honey wanna get breakfast,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
know arm killing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
okay guys listen dont forget tomorrow day emilygets married whatever try really keep rosss mind,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Negative
monica im sorry didnt come last night gary helet ride around cop car saw prevented crimes,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
uhhuh,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
well kinda dangerous,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Negative
tonight youyou didnt say going nighttime,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
also find umm dog dead,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
right hand box photos thats last one,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Negative
oops sorry well good thing number huh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
hadnt photo 152 prototype,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
ohhhh honey honey honey okay okay honey im gonna fixyou drink huh maybe margarita,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
ross blender ugh everythings falling apart,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
honey okay listen ill got rosss get blender youget margarita stuff ready,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
right hes keys drawer yknow also need somecash,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
okay want stop atm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
nah youre rosss see lying around…,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
iii dont dont,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Negative
starting get dark,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
yeah well victim theyre usually pretty talkative,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh hey gary want grab berry ya,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
melted cheese marinara sauce,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
cant smell sandwich,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
half taste smell youyoure sucking tastiness,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
need things make margaritas uhh need saltsome margarita mix tequila,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
sursurprise gonna make anybody mad,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
yknow say partner doesnt sound cop sounds gay,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Negative
mean rosss hears calls backand get back together want ross back controllingneurotic crazy emily emily wouldnt let see,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
noo oh god get back together knowthat know even ross knows still doesn’t give us rightto erase message,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
im sister okay love dont want see get hurt comeon doesn’t give right control him—help,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Negative
dont think hes one needs help,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
ugh,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
yknow obviously kind twisted joke shes trying toplay,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
noooooooo,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Negative
oh nothing says cant sue city scrapyour knee yknow get head blown,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Negative
uh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
wait wait,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
monica monica fix,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
well youre gonna totally rational cant argue withyou right fine wanna tell tell dont want part ofit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
oh maybe thats emily calling back leave exact message,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
wow play message emily whole problem goes away,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
god joey,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
yeah butbut,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
yeah didnt know,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
couldve easily bullet,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Negative
hey joe ever think joining force could use guy likeyou,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
jumps loud noises,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Negative
oh yeah well maybe take walk badneighborhood,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
bye,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
cut ross hate save life kick ass thesame day,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
oh went walk around living room whatever…,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
something wrong,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
im tired yknow fromfrom walk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
thats oh god hate ross,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Negative
hate ross,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
look im glad saved ross car backfire butyknow couldve bullet yknow didnt try save,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
ohh youre upset think chose ross noi…knew…you could take care yknow mean ross need help hesnot street like us,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Negative
comes would risk life ross youwould thats bottom line,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well exactly right look wasnt trying save rossokay sandwich next ross right trying save sandwich,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
bullet,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Negative
know doesnt make much sense…,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
risked life sandwich,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Negative
didnt uh choose ross,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Negative
would never youyoure like brother,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Negative
eh ohoi easy hot dog,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
ohwhoahey dude,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
thought showing much mean,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Negative
rach uh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
okay little scared whats going ross,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Negative
somebody took shot,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Negative
car backfired,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
well iii dont know fits whole seizingthing um,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
well uh something second thoughts wedding anddid guys make mistake breaking uh wants call,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
right guess guess call emily,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
okay look yesterday wouldve even considered calling back myexwife calls day near death experience mean thatthat got tomean something,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Negative
ugh ross,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
werent okay maybe something iim supposed toseize yknow,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
okay yknow maybe seizing stuff maybe isabout escaping stuff,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
huh,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
make sense wanna seize opportunity iireally dont wanna see talk,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative
oh waitwaitwait message blinking maybe didnt erase,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
yeah want money back,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
wonder would react fire yknow backfire butbutheavy fire like war something,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Negative
man would great war mean really think would make,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
shot troops,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Negative
know joey would would foxhole protecting allof us,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
yes foxhole lined sandwiches,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
hey uh mon saw porsche parked front get keysthought i’d take bad boy little spin,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
yeah well he’s brother plus drives slow couldnever hurt,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
it’s car monica rocket ship,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
whatever ross replace bulbs brake lights afteryou’re done,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
i’ve never driven okay okay okay drive itall time,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
you’re fast irresponsible adds bad driver,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
see look girl gave huh must’ve seen mecruising bad boy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
think she’s checking beehive ross,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
fine y’know doesn’t matter remembercorrectly comb floor bathroom,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
chandler still haven’t gotten rsvp dad,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
oh right umm maybe that’s didn’t send aninvitation,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
don’t even know man okay we’re close ihaven’t seen years,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
well gonna finds wasn’t even asked,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
well doesn’t know it’s like run thesame circles hang guys stars drag show vegas,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Negative
trust don’t want either okay nobody gonnabe staring bride father groom wearing backless dress,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
long he’s wearing white dress veil idon’t care,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Negative
death seat,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,Negative
phoebe huh long going,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
wow maybe uh maybe ought get know littlebetter,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Negative
uh what’s name,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Negative
didn’t oh honey know you’remarrying don’t get win anymore,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Negative
look forget okay don’t want go don’t want seehim don’t wanna,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Negative
chandler look ii know dad embarrassed know…,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
nono,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
chandler you’re fourteen anymore okay maybe it’s timethat let stuff go father’s wedding…you’regonna regret rest life,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
really never get win anymore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Negative
it’s goofing around dared trythem,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
that’s weird,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
think little flap great holding lipstick,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
yeah wouldn’t know,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
oh yeah looked like real lumberjack pink laceys,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative
i’m saying man completely secure hismasculinity could walk around women’s underwear don’t think could everdo,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
god forgot much love driving,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
horsing around okay porsching around,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
okay stay calm nothing going happen thatmuch trouble,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
still say called dad coulda gotten betterseats,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
don’t know i’ve told he’s kindatried get contact lot last years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Negative
yeah he’s made phone calls written letters even came newyork always said busy see y’know it’s,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative
oh god,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Negative
oh yes absolutely y’know it’s weird uh dreamlast night stopped policeman uh…well probablyshouldn’t tell rest,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Negative
that’s hanson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
oops sorry mistake,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
really think y’know rolled bed,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Negative
well taken ten years ago,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative
