Cleaned_Dialogue,Positive/Negative,Song Recommendations
hi ii hear you’re going ferry tonight,Positive,Free Bird - Edit
hey rachel ready go,Positive,C'mon - Single Version
yeah right i’ll see guys later,Positive,ZT (3x3)
okay great time guys,Positive,Alors on danse - Radio Edit
oh i’m glad called feel like it’s always callingyou what’s everything okay phoebe,Positive,Killing In The Name
be…in minute listen tim you’re really great guy,Positive,Often
right car magazines cereal boxes it’s like,Positive,Toxicity
hey that’s want i’m gonna say,Positive,Lose Yourself
well ross think gonna,Positive,Bleed
that’s nice picture maybe still,Positive,Africa
that’s okay ross maybe need new picture okay it’s notgonna thought matter there’s gonna brand new littlebaby,Positive,Orinoco Flow
hey tell let’s go fun huhwhatever want come,Positive,Enemy (with JID) - from the series Arcane League of Legends
it’s bob actually hey work tell thischandler,Positive,The Trooper (2015 Remaster)
well puts difficult position,Positive,Toxicity
got page everything okay,Positive,Free Bird - Edit
oh it’s great it’s great thank much introducing us,Positive,Safe To Say
i’m sorry i’m just—i’m…i’m readyfor relationship right,Positive,Build God
yeah andand i’m sorry well just—i like thingsdone certain way chemistry’s right,Positive,Bad Liar
oh that’s good chemistry thing us,Positive,Paradise
thank much ‘cause ii know better,Positive,Moves Like Jagger
well better y’know still want,Positive,Royals
hey wanna…wanna little cheering,Positive,Snow (Hey Oh)
oh think i’m gonna go home eat ten candy bars,Positive,Safe To Say
hey it’s mona wedding,Positive,I Feel It Coming
i’m good except umm still owe dance,Positive,Play with Fire (feat. Yacht Money)
oh that’s right well uh would interested seeing aukrainian film,Positive,Kaer Morhen
oh oh diddiddid wake,Positive,Toxicity
don’t need fill silences,Positive,Astronaut In The Ocean
it’s something proud okay go asleep clinic,Positive,Toxicity
gotta gotta gotta gotta doit,Positive,Royals
guys picked date yet,Positive,Thunder
oh thanks uh anyone seen rach,Positive,Bleed
yeah yeah take break anyways so…,Positive,In Waves
know getting married i’d feel kinda…y’know,Positive,Heaven and Hell - 2008 Remaster
yeah yeah definitely well definitely took surprise buti’m okay,Positive,Don't Panic
you’re great ii know someday happen youjust hang,Positive,Whatever It Takes
know isn’t it’s like i’m right joshua,Positive,ME! (feat. Brendon Urie of Panic! At The Disco)
right emily it’s y’know it’skinda like… it’s tie well gotta get gotta get back dishes,Positive,Unsainted
hey y’know y’know would make really happy,Positive,C'mon - Single Version
oh god ohh look one it’s beautiful,Positive,Savage Love (Laxed - Siren Beat)
oh yes umm i’m pick dress hold,Positive,Smooth Criminal - 2012 Remaster
yes what’s name please,Positive,Don't Panic
you’re beautiful bride i’ve ever seen,Positive,Let Me Love You
hey hear joshua going dinner ross andemily think that’s think that’s really cool,Positive,Someone In The Crowd
yeah rach think you’re handling really well,Positive,Young Dumb & Broke
guys four weeks today,Positive,Enemy (with JID) - from the series Arcane League of Legends
great emily getting married month,Positive,Blinding Lights
i’m okay really really happy wanna know,Positive,Can't Feel My Face
‘cause really happy us think think areso right track y’know mean think working think areclicking y’know,Positive,People of The Pride
ii gotta say iiii’m sure agree,Positive,Bleed
oh know know it’sit’s it’s totally likewhoa y’know,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
wow uhh rachel uhh you’re real special lady divorceisn’t final yet we’ve four days i’m thinkingno,Positive,Toxicity
alll right we’ll call minutes,Positive,I Dunno (feat. Dutchavelli & Stormzy)
i’m gonna right that’s real,Positive,Bleed
okay throw straight time,Positive,Whatever It Takes
i’m getting married next,Positive,Blinding Lights
yeah mean kinda fun didn’t startfeeling silly,Positive,Toxicity
got us reservations sunday night okay abouternie’s 9 o’clock,Positive,Blinding Lights
yeah well uh better make three,Positive,Whatever It Takes
three people joshua’s gonna,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
well apparently scares easy,Positive,goosebumps
it’s okay sometimes things don’t work way you’dthought would,Positive,Ain't No Rest for the Wicked
i’m gonna marry chandler,Positive,B.Y.O.B.
look everyone it’s spirit thanksgiving,Positive,Señorita
picked oh thank god want ooh,Positive,Cake By The Ocean
exchanges every gift ever gets it’s likeimpossible get something likes come let’s trade,Positive,Painkiller
hey time big game start,Positive,Enemy (with JID) - from the series Arcane League of Legends
oh god ice got eye,Positive,Kaer Morhen
honey you’ve got go what’s office number,Positive,Astronaut In The Ocean
heyhey thought told follow recipe exactly,Positive,In Waves
really wow that’sthat’s nice gonna get,Positive,Trndsttr
oh that’s true i’ve got lots stuff never tookback,Positive,Bleed
like uh gold necklace got last year,Positive,Location
well wore christmas day uh…,Positive,Heat Waves
back rachel together chandler kissed wouldyou hear,Positive,Nearly Witches (Ever Since We Met...)
that’s good point uh long gonna punish,Positive,Toxicity
hey don’t crime can’t time,Positive,Royals
joey guy’s best friend,Positive,Often
wow i’m honored y’know i’m gonna firstact best friend,Positive,Someone In The Crowd
i’m gonna get talk chandler,Positive,The Ballad of Mona Lisa
oh god cute oncall doctor,Positive,We Are Young (feat. Janelle Monáe)
ooh cute i’m thinking jamming pen eye,Positive,Heaven and Hell - 2008 Remaster
dr burke see know,Positive,Don't Panic
dr richard burke town dr timothy burke son seeyou,Positive,I Dunno (feat. Dutchavelli & Stormzy)
right look you’re gonna stay leaststay okay,Positive,Eye For an Eye
gotta tell look great,Positive,Fivio Foreign & Darkoo]
moved back couple months ago,Positive,Take Me Back To London (Sir Spyro Remix) [feat. Stormzy
oh big family dinner tonight,Positive,Blinding Lights
it’s richard’s son it’s like inviting greektragedy dinner,Positive,Unsainted
oh god actually exchanged,Positive,We Are Young (feat. Janelle Monáe)
thank come meet friends uh phoebe,Positive,Bugzy Malone
right everybody turkey ready,Positive,The Ballad of Mona Lisa
fancy soap thought savin’ pope,Positive,Heaven and Hell - 2008 Remaster
see he’s nice right,Positive,Young Dumb & Broke
wow everything looks great sit,Positive,Cake By The Ocean
ohhoho we’ve got company,Positive,Rock You Like A Hurricane
gonna start taking thing seriously,Positive,Attention
y’know friends think weird,Positive,Toxicity
we’re two people find attractive right,Positive,Something Just Like This
nono really waswas okay,Positive,Toxicity
that’s okay chandler’s one i’m mad,Positive,Sugar
yeah we’re gonna fine get,Positive,Can't Hold Us (feat. Ray Dalton)
yeah real good thinkin’,Positive,Hall of Fame (feat. will.i.am)
oh sees oh they’re hugging,Positive,We Are Young (feat. Janelle Monáe)
look she’s really nice okay mentioned adoredthe way arranged sponges,Positive,Yellow
well usually i’m anxious clean,Positive,Attention
think it’s coming bag,Positive,Toxicity
hi it’s eric halloween party ursula’s fiancée,Positive,Organ Variation
oh friend who’s cop got,Positive,Often
wow incredible violation—and wonderful surprise,Positive,Savage Love (Laxed - Siren Beat)
wait saying you’d think goodperson fight,Positive,Paranoid - 2012 - Remaster
great work lunch okay yourapartment two hours,Positive,Royals
great whwh—how know live,Positive,Raining Blood
i’ve got friends okay bye,Positive,Hall of Fame (feat. will.i.am)
apparently i’m available lunch,Positive,Hotter Than Hell
can’t i’m busy i’m apartment hunting,Positive,I Bet My Life
doesdoes joey know you’re moving,Positive,Bleed
yeah would really great,Positive,I Feel It Coming
hi i’m ross geller live building,Positive,Young Dumb & Broke
i’m rachel admirer building,Positive,Yellow
mrs bing tile cleaner incredible where’d get,Positive,Cake By The Ocean
fine i’m glad didn’t give secret ingredient,Positive,Lose Yourself
come i’m glad you’re,Positive,Alors on danse - Radio Edit
right well finish coffee let’s go,Positive,Free Bird - Edit
nono ii see apartment became available,Positive,Royals
yeah baby comes she’s gonna want move,Positive,Take on Me
yeah didn’t expect live baby,Positive,All We Know
oh thanks like top,Positive,Pumped Up Kicks
thinking taking lunch break,Positive,Don't Panic
oh top cabinets that’ll really work upyour appetite lunch,Positive,Play with Fire (feat. Yacht Money)
oh okay i…i ate way much,Positive,Unsainted
oh yeah hopefully across street certain dutch people would justlet go,Positive,Friction
kinda hoping you’d stay,Positive,Mr. Brightside
oh joey go there’s room baby,Positive,Ain't No Rest for the Wicked
love living much wish things didn’t tochange,Positive,Die For You
i’m gonna miss you’re hottest roommate ever,Positive,Plastic Heart
oh stay we’ll keep i’ll pay,Positive,Whatever It Takes
pink flowered bra recognize strap,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
would thinks i’m attracted,Positive,Monster
come catch looking woman’s breasts allthe time,Positive,Duality
right yes okay get point it’s brawill let woman clean apartment,Positive,Chop Suey!
yes absolutely okay look you’ll know it’s mine onthe right cup lacey part there’s noticeable rip,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
didn’t notice wearing different clothes,Positive,Bleed
think know what’s going,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
women want bring home,Positive,Smooth Criminal - 2012 Remaster
look i’m bringing home woman can’t stand arounda baby maybe don’t want woman maybe we’ll itin bathroom club,Positive,Chop Suey!
yeah right—look know sometimes it’ll hard okay butit’ll also really…really great please rachel iii really want stay,Positive,Sunrise
serious—really it’s good condition,Positive,Immigrant Song - Remaster
wow whoawhoa what’s covers,Positive,Immigrant Song - Remaster
ewww yeah umm think i’m gonna stay,Positive,Don't Panic
don’t worry i’m robot i’m machine,Positive,Astronaut In The Ocean
yeah you’re great okay let’s take from…,Positive,Body (Remix) [feat. ArrDee
yeah thought pretty good,Positive,Whatever It Takes
oh yeah you’re solid yeah you’re,Positive,New Rules
oh it’s new tv show yeah i’m part macmacaveli mac yeah,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
that’s title yeah y’know really lucked theinitials spell cheese,Positive,Savage Love (Laxed - Siren Beat)
nownow would say joseph,Positive,Toxicity
joey talking you’re terrific actor,Positive,It's My Life
gonna invite us big opening,Positive,The Ballad of Mona Lisa
right well i’m outta wish luck,Positive,Can't Hold Us (feat. Ray Dalton)
hey how’d audition go,Positive,Enemy (with JID) - from the series Arcane League of Legends
yeahyeah it’s two guys,Positive,Smooth Criminal - 2012 Remaster
know they’re really good one guyfrom allergy commercials who’s always getting chased big flowers…,Positive,Immigrant Song - Remaster
look don’t worry okay you’re gonna fine,Positive,Lose Yourself
gonna slice real nice,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
well quite large iiiii throw itaway,Positive,Then We'll Talk
oh come guys it’s like moved europe movedacross hall,Positive,New Rules
yeah okay talking guys look meanis okay come visit,Positive,Starboy
allergy guy got part thanks,Positive,C'mon - Single Version
look i’m saying magically forgive butyou’re perfect you’ve made errors judgment,Positive,Duality
way ive going guy 12 years,Positive,Organ Variation
course chandler important thing forgiveyourself,Positive,Whatever It Takes
i’m sure forgive look therey’know fight make it’s way works,Positive,Calm Down
happy thoughts happy thoughts,Positive,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
ok im gonna kick ass,Positive,Can't Hold Us (feat. Ray Dalton)
alright let go stop,Positive,Nightmare
look im chandler could,Positive,ZT (3x3)
joey got joey special,Positive,Young Dumb & Broke
please tell got message,Positive,Paranoid - 2012 - Remaster
well youyouyouyou might say congratulations saw board went tothe audition got part,Positive,Buni
oh well i’m uh…,Positive,Heaven and Hell - 2008 Remaster
well that’s good didn’t i’mincredibly happy ya,Positive,Symphony (feat. Zara Larsson)
yeah you’re right okay look listen let’s talk ahuge star i’m gonna,Positive,You Just Haven't Thought of It Yet
thought excellent fact minute likeooh,Positive,Savage Love (Laxed - Siren Beat)
thank say first scene meet mac…,Positive,C'mon - Single Version
oh that’s great haven’t seen place since movedin,Positive,C'mon - Single Version
y’know it’ll okay it’ll okay theycome charming make fall love thenwe’ll tell ‘em,Positive,Can't Hold Us (feat. Ray Dalton)
really think that’ll work,Positive,Lose Yourself
hey pretty charming babe didn’t,Positive,Sarah Smiles
great another thanksgiving nothing give thanks,Positive,Middle Of A Breakup
maybe could give thanks shuttin’ eh,Positive,Duality
maybe could give thanks taking,Positive,A Million Dreams
well maybe love ya’,Positive,Symphony (feat. Zara Larsson)
guys going chandler’s thanksgiving,Positive,Bonfire
well dancer friends thinking thanksgivinguptown thought guys might like come,Positive,Sandstorm
yeah see wewewe stop across hall it’s mysister uh uh y’know actually growing sister nice itreally helped understand women yeah youyou tell friends,Positive,Baby Blue - Remastered 2010
got three women marry i’ll never know,Positive,Sugar
hey hey pheebs check yeah desert chosen tomake traditional english truffle,Positive,Buni
wow sounds great making monica caserachel’s dessert good eat itthere’s none left anybody else,Positive,Smooth Criminal - 2012 Remaster
wow monica love really faith thank youtechnical question know uh butter’s done,Positive,Temperature
oh ooh food smells great mon,Positive,Blinding Lights
yeah hey hey happy thanksgiving everybody,Positive,Orinoco Flow
oh janine really hot dancer girl,Positive,Into the Unknown - Panic! At The Disco Version
would say she’s attractive yes,Positive,Lose Yourself
you’re gonna go anywhere said gonna eat andyou’re gonna eat,Positive,Toxicity
yeah andand leaving us go see hot dancer girls verythanksgivingy,Positive,B.Y.O.B.
dad mom look look it’schandler,Positive,Señorita
mr mrs geller look wonderful great hearlet us take coats,Positive,I Feel It Coming
monica food looks wonderful think doingthis living,Positive,Alors on danse - Radio Edit
ok dandruff there’s need laugh point,Positive,I Write Sins Not Tragedies
rach rach remembered dream mr geller lastnight,Positive,Jaykae & Aitch]
y’know dad chandler one ross’s best friends,Positive,Young Dumb & Broke
yeah ross sure great guy y’know i’ve always felt thathow young man turns reflection father,Positive,It's My Life
always thought tell father,Positive,Don't Panic
yeah it’ll like funny thanksgiving story,Positive,Thunder
diddid make wanna walk around underwear,Positive,Immigrant Song - Remaster
mom uh chandler saying beautiful sweater,Positive,Señorita
oh thank chandler bought,Positive,Safe To Say
alright alright nownow say tricked,Positive,Nearly Witches (Ever Since We Met...)
don’t let worry making trifle youjust worry eating alright,Positive,It's My Life
look everyone eats thatthatbananameat thing they’re allgonna’ make fun want,Positive,Sign of the Times
kiddin’ i’ll talk distract rach,Positive,Hotter Than Hell
umthanksgiving holiday season upon us hm,Positive,Collar Full
umyou look nice today,Positive,Pumped Up Kicks
rachel come let’s serve dessert already,Positive,Blinding Lights
wow make beef eggplant,Positive,Young Dumb & Broke
alright monica want first taste,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
it’s good feel really selfish onewho’s eating think everyone taste good isespecially ross,Positive,Someone In The Crowd
okay itdoes taste good let metry,Positive,Then We'll Talk
what’s like custard good jam good meat gooooood,Positive,Young Dumb & Broke
oh phoebe wanna hear,Positive,Heaven and Hell - 2008 Remaster
yeah jacques cousteau came kicked ass betrayingme soo cool took diving introduced pet seahorsewho way totally coming please gonna happen,Positive,Starboy
boy i’m glad wore big belt today,Positive,Levitating
alright know that’s you’ve chance,Positive,American Idiot
monica chandler living together,Positive,Someone In The Crowd
kinda figured porch swing,Positive,Clocks
guys bananas cream beef ii cannot believe thatyou ate wouldn’t feel bad,Positive,Immigrant Song - Remaster
kidding practically spent entire childhood arcadethis like—oh like second favorite game,Positive,Party Monster
well just—you put quarter y’know pullpull somehandles win like candy bar something,Positive,Enemy (with JID) - from the series Arcane League of Legends
don’t feel bad like every time,Positive,Fivio Foreign & Darkoo]
hey oh i’m glad guys i’ve dying tellsomeone happened paleontology department today,Positive,Blinding Lights
professor neuman head department so…,Positive,Not Afraid
got big date coming know good restaurant,Positive,Thunder
uh paul’s café got great food it’s reallyromantic,Positive,Alors on danse - Radio Edit
yeah oh afterwards take,Positive,Someone In The Crowd
yes we’re gonna go we’re gonna good timeand take mind childbirth csections andand giant baby heads stretchingout…,Positive,You Just Haven't Thought of It Yet
chandler phoebe’s hogging game,Positive,Symphony Of Destruction - Remastered 2012
nono love great present fact don’t yougo home wait thank card,Positive,Señorita
ohh lilies joey they’re favorite thank,Positive,Hold
hey come real date uh so…nice place got herefoosball huh pizza box oh subscription,Positive,Blinding Lights
yeah actually that’s roommate’s,Positive,Lose Yourself
would like meet sounds like stand guy,Positive,You Just Haven't Thought of It Yet
ah… hey roommate yours…is good looking,Positive,Don't Start Now
yeah it’s new building avenue,Positive,Lose Yourself
ooh dude that’s gonna happen,Positive,Psychosocial
move move move hey i’m teacher,Positive,The Pot
there’s side steamed vegetables,Positive,Don't Panic
wow shaping pretty good date—oh almostforgot didn’t pay rent check,Positive,Safe To Say
oh whoawhoawhoa roommate stuff okay we’re date,Positive,One of the Drunks
okay wow get see joey tribbiani like date doyou moves,Positive,Bonfire
knew knew come tell moves,Positive,The Ballad of Mona Lisa
oh alright umm well okay usually start bottle winesent table fan,Positive,Blinding Lights
oh okay one gonna wait end nightto kiss you’re beautiful…i don’t think,Positive,Bonfire
alright so…so tell one moves,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
that’s move boy rach you’re lucky you’re hot,Positive,Lose Yourself
yeah mom yeah much dad,Positive,Build God
yeah it’s really tough y’know sometimes ithink—wow nice move,Positive,Viva Las Vengeance
thank you’ll excuse go restroom,Positive,Lose Yourself
right look i’m gonna unplug,Positive,New Rules
honey youyou got beat scores,Positive,Royals
right fine fine i’ll i’ve got get thisoff screen carol susan still upset taught pull finger,Positive,B.Y.O.B.
one friends wouldn’t punch,Positive,Often
hey rach say think best date ever,Positive,Let Me Love You
never laughed hard—did see wine come nose,Positive,Cake By The Ocean
tell joey tribbiani’s end night moves,Positive,C'mon - Single Version
ah well want girl kiss first thing make lipslook irresistible,Positive,You Just Haven't Thought of It Yet
yeah like moth flame i’m telling ya okay right nowyou go,Positive,Body (Remix) [feat. ArrDee
right gotta go bed honey wonderful time,Positive,Hold
well you’re gonna able keep,Positive,Astronaut In The Ocean
you’ve seen geller yeller,Positive,Enemy (with JID) - from the series Arcane League of Legends
hi hey remember last night talking movie,Positive,Collar Full
relax it’s like it’s,Positive,Astronaut In The Ocean
oh yeah right let’s tonight,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
hey joey ask something,Positive,Don't Panic
oh god totally freaked,Positive,Raining Blood
nono i’m fine it’s just… hey ask somethinghave ever looked someone you’ve known thensuddenly…suddenly see different way,Positive,Bohemian Rhapsody
yeah yeah that…that’s exactly you’re right yeah,Positive,Hall of Fame (feat. will.i.am)
oh god phoebe you’re fire,Positive,Savage Love (Laxed - Siren Beat)
right go left go left go right go right,Positive,You Just Haven't Thought of It Yet
oh god thank god you’re home i’m watching,Positive,Don't Start Now
oh uh okay yeah,Positive,Bleed
right know know yeah it’ll okay,Positive,It's My Life
sixhour trip london that’s lot monica,Positive,Thunder
yeah third drawer dresser don’t want lose,Positive,Royals
okay okay rachel’s gonna can’t askher stuff,Positive,I Dunno (feat. Dutchavelli & Stormzy)
yeah okay give try,Positive,Moves Like Jagger
well we’re guess get going,Positive,C'mon - Single Version
oh i’lli’ll come hug,Positive,Let Me Love You
great yeah could bring newspaper,Positive,Often
oh hey chandler wanna hug,Positive,Señorita
oh great might well bring book it’s thecounter apartment,Positive,Lose Yourself
london come london please it’ll mean much,Positive,It's Time
right y’know really late let’s golet’s go let’s go,Positive,Needled 24 / 7
fine you’llyou’ll watch video get back,Positive,Bleed
right let’s go bye pheebs,Positive,I Feel It Coming
okay listenlisten we’re gonna walk way theentire time,Positive,Chop Suey!
sweetie gotta relax everything’s gonna great okay come oncome,Positive,Titanium (feat. Sia)
yeah yeah yes place beautiful emily’s parents got marriedhere,Positive,Roots
it’s right everything’s gonna right,Positive,Calm Down
think it’s great it’s great y’know they’rethinking changing name place,Positive,Sandstorm
oh honey don’t get need,Positive,Yellow
eh don’t hard someone still lovewith getting married…,Positive,Green Eyes
phoebe i’m going ross’s wedding myexboyfriend would,Positive,Wake Me up When September Ends
yeah know talk time,Positive,Royals
well thought knew it’s obvious god thatwould like telling monica hey,Positive,Toxicity
right look you’re really gonna buy youdon’t think you’ve embarrassed enough one day,Positive,American Idiot
oh really come one wearing,Positive,All We Know
right look insist wearing publicy’know you’re gonna spend rest afternoon,Positive,Symphony Of Destruction - Remastered 2012
hey spoke dad know seems thinkwe’ll able find new place wedding,Positive,Orinoco Flow
said i’m gonna happy getting married somewherethat find day,Positive,Politik
realize people going disappointed i’m surethey’ll come back right,Positive,It's My Life
shopping make feel better ross,Positive,Pull Me Under
noo i’ve best day ever dude check,Positive,Blinding Lights
hi understand little talk emily,Positive,Free Bird - Edit
ross long planning wedding,Positive,LA Devotee
kinda i’ve way much fun,Positive,Alors on danse - Radio Edit
y’know rachel birds babies…,Positive,Yellow
yeah y’know thinking y’know orderedthe joey special,Positive,Alors on danse - Radio Edit
yep okay gotta go talk later,Positive,Often
tell wedding going happen,Positive,Ain't No Rest for the Wicked
butbut don’t love we’ll placeat time really it’s fine whatever want,Positive,Hold
yeah know know know tell feelhe deserves information make informed decision,Positive,Astronaut In The Ocean
that’s you’re going you’re going youhope he’s gonna say yeah,Positive,Are You Dead Yet?
ohyesis thisummemily’s parents’ house,Positive,Don't Panic
miss waltham rehearsal dinner it’s politeto make fun people goodbye,Positive,I Write Sins Not Tragedies
joey it’s three days okay little homesickokay would try relax try enjoy,Positive,In Waves
okay ross cameras checked yet,Positive,The Ballad of Mona Lisa
yeah one time dating uh got late checkout gotso excited best sex ever y’know screamed,Positive,Immigrant Song - Remaster
it’s built price room,Positive,Hall of Fame (feat. will.i.am)
cameras remember last night told take,Positive,Astronaut In The Ocean
well i’m sure they’re still somewhere hoteli’lli’ll help look,Positive,You Just Haven't Thought of It Yet
gonna open presents without chandler,Positive,Demons
little mirror look see oldwoman,Positive,Flashback
ohhh god tiny salt,Positive,Duality
oh wow okay well fun,Positive,Cake By The Ocean
good okay i’m gonna wait chandler open rest ofthem,Positive,Bonfire
don’t worry promise pregnant afew hours ‘cause i’m going tell father today,Positive,The Ballad of Mona Lisa
yeah you’re gonna knock door change lifeforever you’re like ed mcmahon except without big check raw sexualmagnetism,Positive,Lose Yourself
yeah uhhuh guess pretty big news,Positive,Immigrant Song - Remaster
okay still huge decision make he’swalking around thinking ‘do want dad’ bam,Positive,Chop Suey!
oh god pheebs you’re gonna baby,Positive,Savage Love (Laxed - Siren Beat)
yes that’s i’m table celebrating,Positive,Cake By The Ocean
i’m thinking new bride home okay dodo youreally want start life together letting,Positive,Monster
i’m telling looks exactly like wedding aren’tthese flowers,Positive,Flashback
charge cameras gift shop,Positive,New Rules
thank god ‘cause hair baby…,Positive,Yellow
don’t know let think walking street thinking‘i’m gonna tell father today’ bam,Positive,Trndsttr
hey lady day’s it’s turn,Positive,Symphony Of Destruction - Remastered 2012
people got finish stories,Positive,Wrong
oh god… oh he’s right,Positive,goosebumps
okay ready last picture,Positive,Sandstorm
nothing phoebe kinda made mistake y’know wear thatsweater lot involved kind dare,Positive,Bad Liar
oh it’s right time,Positive,I Bet My Life
tag father joey knows,Positive,Raining Blood
pheebs give ring back,Positive,Far Too Young to Die
joey oh you’re sweet you’re soso sweet honey buti’m i’m looking husband,Positive,Sarah Smiles
can’t say didn’t hurt i’ll take back joeytribbiani,Positive,Young Dumb & Broke
uh yeah pheebs listen offered…,Positive,Toxicity
good good long time see,Positive,I Feel It Coming
oh hey right back ya,Positive,Young Dumb & Broke
oh it’s crazy rachel huh,Positive,Someone In The Crowd
yeah she—well she’s one crazy lady,Positive,Bleed
hi joey ya doin’,Positive,Pumped Up Kicks
guys know cute guys,Positive,C'mon - Single Version
anyway there’s big charity ball weekend ralph laurenbought table kinda go…,Positive,Bonfire
ralph mumble you’re paying attention,Positive,Toxicity
yeah it’s weird thing need find date,Positive,Can't Feel My Face
well kind guy looking,Positive,Often
well someone tux ability,Positive,Moves Like Jagger
well really wanted meet guys run i’llsee later,Positive,Collar Full
yes molecular epidemiology paper due tomorrow,Positive,Royals
oh tell good luck,Positive,I Write Sins Not Tragedies
anyone else huh bring ‘em,Positive,The Ballad of Mona Lisa
yeah fact like much tell want cookies earlythis year y’know box,Positive,Something Just Like This
heyhey come guys give break ross seriously how’s itgoing,Positive,It's My Life
well actually it’s great she’s 20 she’s notlooking anything serious perfect right,Positive,People of The Pride
well great seriously seems nice,Positive,Pumped Up Kicks
chandler think talk relationship enough,Positive,Rain
okay thought perfect guy rachel take thing,Positive,Sandstorm
oh that’s funny found someone,Positive,Savage Love (Laxed - Siren Beat)
well uh y’know guy works chandler he’s reallynice smart he’s great dresser,Positive,Levitating
new fridge—our new fridge,Positive,Someone In The Crowd
wondering could talk moment,Positive,Trndsttr
yes yes course whatwhat would regarding,Positive,Dance Off (feat. Idris Elba & Anderson .Paak)
yeah time lot people going trips…,Positive,Enemy (with JID) - from the series Arcane League of Legends
tell truth tell you’re ready,Positive,Toxicity
right chandler remember told fridge,Positive,Don't Panic
wanted see professor geller,Positive,No Time for Caution
yes yes please come,Positive,Bugzy Malone
well spring vacation nice things grandparentsspring break you’re frat guys,Positive,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
hey y’know spring breaks like,Positive,Free Bird - Edit
hey guys umm want meet sebastian,Positive,C'mon - Single Version
yes found really cute funny guy chandler’s work,Positive,C'mon - Single Version
well y’know though guys really appreciate ithink i’m gonna take sebastian charity,Positive,Hall of Fame (feat. will.i.am)
sure guy smells incredible,Positive,Levitating
funny tell us joke,Positive,C'mon - Single Version
yeah sebastian cat’s name,Positive,Toxicity
yeah y’know noticed rachel scares easy thekind guy you’d like take ball hey sebastian,Positive,Cirice
yes i’ll meet ‘em,Positive,Smooth Criminal - 2012 Remaster
okay doesn’t matter one choose y’knowit’s completely guy perfect go guy phoebedeemed good enough go,Positive,New Rules
ooh technically owe 600 sending happy thoughts yourlast ten auditions,Positive,On Top Of The World
sure spring break ’81 woohoo,Positive,Flashback
well goes andand sleeps bunch guys,Positive,Duality
i’m glad you’re going trip,Positive,C'mon - Single Version
we’re really glad decided meet guy,Positive,Often
you’re gonna like much umm want meethim,Positive,The Ballad of Mona Lisa
yeah believe suit justice what’sunderneath,Positive,There's a Good Reason These Tables Are Numbered Honey
okay y’know maybe go,Positive,I Write Sins Not Tragedies
that’s right patrick byebye,Positive,ZT (3x3)
yeah okay let’s talk,Positive,Hall of Fame (feat. will.i.am)
yeah pack bathing suit,Positive,Thunder
ross it’s going okay i’m going tohook bunch guys really like like things going us,Positive,Often
yeah i’m going relax hang myfriends,Positive,Paradise
oh that’s right y’know ended really goodtime y’know charity big success raised lot money andawareness,Positive,Paradise
oh god look that’s elizabeth,Positive,Savage Love (Laxed - Siren Beat)
oh hey still final exams,Positive,Free Bird - Edit
besides there’s big age difference,Positive,Heaven and Hell - 2008 Remaster
oh well think like you’re 90…,Positive,Clocks
that’s going say going tosay you’re 90 you’ll still memory like bewith 20yearold,Positive,Wake Me up When September Ends
oh yeah dana keystone movement class,Positive,Baby Blue - Remastered 2010
heyhey dude changing subject make thecall,Positive,Toxicity
oh okay i’lli’ll try,Positive,Bad Liar
right thanks you’re best listen last day ofauditions thursday okay gotta get thursday okay rememberthursday thursday remember thursday,Positive,Thunder
yeah sure nature called wanted see else,Positive,The Ballad of Mona Lisa
oh soso seriously time,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
uh you’re gonna able live youladies place stay,Positive,Free Bird - Edit
usually yeah could use one right,Positive,One of the Drunks
god it’s great catch can’t believe longit’s,Positive,Flashback
wow you’re going date girl,Positive,Collar Full
well determined cause fire,Positive,Hall of Fame (feat. will.i.am)
yeah know candle candle,Positive,Duality
it’s okay date student,Positive,Free Bird - Edit
well ross seems pretty clear mean what’s important whatpeople think feel huh ross gotta follow heart,Positive,Royals
hey relax need time we’re going dinner tonight,Positive,Royals
great story yarns weave woohoohoo,Positive,Safe To Say
oh nonono stay stay youyou youyouyou shouldstay,Positive,Paranoid - 2012 - Remaster
wow oh really flattered don’t feel wayabout,Positive,Don't Panic
well maybe one thing,Positive,You Just Haven't Thought of It Yet
well much changed last five minutes,Positive,Psychosocial
oh that’s right i’m still full homemade potatochips,Positive,Young Dumb & Broke
eat they’re hot oven,Positive,Old Town Road
that’s right don’t worry,Positive,Not Afraid
rach hey it’s fine you’re joey’s,Positive,Alors on danse - Radio Edit
i’ve never lived like,Positive,LA Devotee
nonono phoebe fault besides y’know whati’m fine,Positive,Royals
okay oh umm chandler monica looking,Positive,Someone In The Crowd
