Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
okay let ask something wife great spending christmas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
mean beautiful woman room tonight,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
really,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
well anymore,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Positive
know thought would fun,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
know,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
youre really good kisser,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
wow really fast,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
bodes well speed impresses,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
gonna see naked,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Positive
yep,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
wanna time,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
count three,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
one,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
two,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
really okay,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
youre efficient love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
thatll work,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
wellwell bring back put dress,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive
eh work,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
thought,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
many kids gonna,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
else think,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Positive
sure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
sure,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
love much,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
really youre gonna return,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
well second,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
oh wow beautiful,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
wow really,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
heyheeyyy look christmas miracle,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hey hey uh miss,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
monica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
never want leave,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Positive
really want,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
know talked first,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
think wanna think great,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
thanks,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
chandler best christmas present could ever imagined,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
give real gift,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
oh hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
thought timely start thinking people besides gift still says love guys,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
mines lilian myers,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh hey ross oh im glad someones could zip,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
sure,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thank believe noone apartment offered,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
oh umm mikes picking date,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh yea um going getting serious,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yea know bit drama queen,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
much better go guy guy fun never worrying terns anything serious,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Positive
oh god youre right,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
know yet ready next date,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
theres nothing wrong mean dont strike type person wants get married anyway,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
mike hanagen,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh ross geller,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Positive
hey sure ready go,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
compact purse,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
look great,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey joey,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
hey girl wont turn around cant tell whether shes hot think,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
alright thanks oh hey talked chandler,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah stay tulsa weekend,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
come,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
know one,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
oh thought said hi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
im hayley,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
ha,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
would love go,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
really great actually ask,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
howd date go,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
rare breed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
great dinner,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah hey thanks letting last piece cake restaurant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
cake,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
im ross phoebes friend coffeehouse,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
ok unless youre gonna try get join cult,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Positive
damn super cuts,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Positive
whats phoebe ok,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
yes yeah said something stupid never serious relationship know much fun wonderful person please dont blow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Positive
say,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
thats real name,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
everything right,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
im gonna go freshen ok,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ok honey close,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hello,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
well watching sharks sure thats,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
know many times ive seen jump like believe know,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
man sharks always knew something weird dude promised love matter,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Positive
yeah remember sleeping memorable guys know,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
know never slept,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
dont think sharks sexy,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Positive
open,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
whawhawhadid ross,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Positive
im going along lie made ross im gonna honest,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
good yeah honest,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ok,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
uh huh sure yeah remember,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
really really think would remember sleeping,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
ringing bells,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
god woman many people remember,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
hey hayley youve really gotta fix doorknob joey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
rachel thought baby ross,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
know calls heart goes know bastard one smooth talking free lance kite designer,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Positive
dont worry glue sniffing although smell occasional magic marker yeah ah anyway think make happy,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
ok cant,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive
well look think weird also cool telling truth also wanna kiss,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Positive
definitely,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hi honey im home,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
oh great,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
well well well must five tulsa six clock nyc,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Positive
good part want fast forward something little toothier,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Positive
im quite sure got right movie thats,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
whats going,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive
sweetie ok still love let part,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Positive
watching giving treat,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
really,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive
yeah good old fashion girl girl american action,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
young hot ball chain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
that’s much better,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh guys going,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
ah joey you’reyou’re lunch mom,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
what’s,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
you’re still friend,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Positive
next minutes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
time…are still best man,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
still call ross,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Positive
we…friends,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
‘cha mon,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
i’m making list things likely gowrong wedding way prepared,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
hey things i’m responsible,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
play,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
play,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Positive
movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
yes that’s one soldiers fight world war,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Positive
oh yeah back y’know called great war really,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Positive
congratulations,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh that’s great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh i’ll done,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh well way go big movie star,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
know right i’ll see guys i’m tofight nazis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
go ahead,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
fight world war,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
mexico,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
yes good,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
i’m scenes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
nice meet joey,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
wow can’t believe incredible mean anoscar,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
think,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah sure,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
hang minute joey keep touching face somethingwrong,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Positive
honey gotta go,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yes include people,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey realize time tomorrow we’ll gettingmarried,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
well…honestly ever since got engaged waiting forsomething flip,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,Positive
honestly,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
really,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay i’ll right,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
hi oh guys look beautiful,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
hi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
chandler,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
jack,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
i’ve never seen one,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
didn’t even chance act though i’m okay withit,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Positive
hi…dad,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
hi mr…bing,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
nora,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
charles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
itit’s great see,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yes although think may seeing little much somepeople aren’t little old wearing dress like,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Positive
i’m amanda,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
bings,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
i’ll,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
wants anybody,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
said i’ll,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
y’know you’re right i’m sorry actually abig help tonight yeah thanks putting grandmother cab making sureshe got hotel safely,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well course i’m,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
hey,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
oh taking parents back hotel,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
going back work,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
nice shades,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
remember correctly,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Positive
hey where’s chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
she’s steaming dress what’s,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
okay phoebe ii think ross right gonna,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
look—okay i’m gonna—i’m gonna go findhim bring back okay youyou make sure monica find okay,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Positive
okay,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
last two pages,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
found picture,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
picture picture,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
okay uh look know you’re great actor okay play allthose shakespeare guys stuff…,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
oh thanks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
well course,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
he’s getting married tomorrow right,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yes yes don’t worry everything’s fine we’ll uhwe’ll see tomorrow wedding,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
well kids talk place much thought we’dsee fuss,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
certainly see girls like coming,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
mother added list,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
youryour list,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
yeah list that—of people we’re allowed tosleep…,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
yes nono know know list mom look seechandler could let know i’m looking,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive
see rita moreno let know i’m looking,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Positive
action,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
picture,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
went personal property,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Positive
picture paulette pack,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Positive
cut wonderful,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
great scene yeah,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh you’re awesome last speech soaked,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
thanks lot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh i’mi’m working tomorrow,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay well there’s one,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
nono ii…i found one,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
oh here’s whole bunch,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
know monica’s gonna baby hey count hersomething new,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
hey think chandler took,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive
okay phoebe tell anyone,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Positive
right,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
anything,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Positive
made seem like calling chat pretty sure boththink i’m interested,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
hey hey can’t,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Positive
ross she’s gonna start getting ready soon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
right well much time need,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
well much time absolutely start getting ready,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
one hour,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
give two,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
ask,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive
okay wish luck,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
okay i’m going,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
right i’ll see guys later,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
i’ll figure something,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
right good luck,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
thanks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey okay thought we’d start make myhair,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah right guy around corner okay wedone,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
woman would lucky ya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah ii made stuff wedding didn’twant worry i’m surgery today,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Positive
kind surgery,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Positive
transplant,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Positive
hair transplant,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
it’s head,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
hey you’re great great great let’s get going buddywe’ve got scene shoot,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
i’m wearing two belts,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
yes,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
never gonna find he’s one guy huge city,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Positive
old chinese woman,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
office,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
she’s fine doesn’t know you’re gone shedoesn’t know okay come we’re going home,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
look chandler right one lower opinion ido totally believe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
y’know okay you’re right huge don’t wetake little bit time okay umm forget getting married sec justforget come home take shower,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
well yeah then…,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
let’s go lunch,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
okay you’reyou’re really freaking,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Positive
arranged,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
let’s take,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
look best friends getting married like hour okay andi’m minister please please pull together,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Positive
thank thank,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
comes bride,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
wanna wear everyday,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
look beautiful,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive
hello,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
yeah got back everything’s fine,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
i’m still set,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
know i’m sorry guy’s drunk won’t let gountil get,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Positive
i’m minister right looklook put ‘em onthe phone i’ll marry right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive
hey don’t hang i’ll marry right ihave power,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive
i’m telling little bit time,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah okay well what’s next little bit,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
yeah you’re right hey ii,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
wh—hey—whoawhoa going,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Positive
oh fresh air,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah yeah they’re…they’rethey’re friends uhmonica stephanopolus uh chandler acidofolus,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Positive
thought,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
recall got married saw groom weddingdress,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Positive
wedding it’s bad luck,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Positive
know hey how’s chandler doin’,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
great he’s great don’t worry chandler,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
okay,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
thesethese beads joy,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh that’s sweet don’t touch,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive
uh phoebe see second,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive
