Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative,Song Recommendations
still,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"All We Know, B.Y.O.B., I Write Sins Not Tragedies"
way pal,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive,"Chop Suey!, Sugar, Toxicity"
dont think see ross think love,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Positive,"Chop Suey!, Done for Me (feat. Kehlani), Nearly Witches (Ever Since We Met...)"
putting marcel ok—if press thatbutton big trouble,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Positive,"Monster, Paranoid - 2012 - Remaster, Nightmare"
yeah know get really competitive,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"In Waves, Unsainted, Psychosocial"
oh rachel,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Positive,"Yellow, Sweet Child O' Mine, Circle of Life (From ""The Lion King"") - From ""The Lion King"" Soundtrack"
well whats job,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"I Write Sins Not Tragedies, I Bet My Life, Psychosocial"
really,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
girls sit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Not Afraid, Hall of Fame (feat. will.i.am), Lose Yourself"
ross could please please please listen anything else,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"Killing In The Name, New Rules, Middle Of A Breakup"
alright,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
im gonna pay,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
hi,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
noooo interview loved absolutely loved talkedfor like two half hours taste clothes and—oh went tocamp cousin oh job perfect well,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
thats great thats wonderful,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
oh god oh told funniest story,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
ok great youll tell us well laugh lets play poker,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
ha ha funny funny think wed like give pokeranother try shall ladies,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
yes think,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Not Afraid, Hall of Fame (feat. will.i.am), Lose Yourself"
thats ok yknow think im gonna give go,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
hey thanks teachin us crosseyed mary guys gotta playthat regular game,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Collar Full, Bonfire, Play with Fire (feat. Yacht Money)"
ooooh thats fine well see last laugh monkey boy,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive,"The Pot, American Idiot, Symphony Of Destruction - Remastered 2012"
ok done chitchat ready play serious poker,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off, One of the Drunks, Animals"
im,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
alright whattaya got,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Starboy, Hotter Than Hell, Lose Yourself"
flys still open,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit, Kaer Morhen"
ha made look,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Often, Titanium (feat. Sia), Immigrant Song - Remaster"
monica,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive,"I Dunno (feat. Dutchavelli & Stormzy), New Rules, Royals"
ok joey bet,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
ross,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive,"Don't Panic, Cotton Eye Joe, Play with Fire (feat. Yacht Money)"
oh,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
chandler,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
rachel,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Hold, Yellow"
show,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
get hands,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Positive,"Raining Blood, Monster, B.Y.O.B."
let see show,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
yknow ive dates like,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"B.Y.O.B., All We Know, Killing In The Name"
yknow theres gonna lots stuff,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive,"Don't Panic, The Final Countdown, Through the Fire and Flames"
alright check,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive,"It's My Life, Whatever It Takes, Calm Down"
check,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
many want,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
ok get purse,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
ok go good luck,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
thats ok ross ask,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
fifteen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
good luck,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
got,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
oh times,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"I Bet My Life, Middle Of A Breakup, Ain't No Rest for the Wicked"
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive,"Bonfire, Trndsttr, Collar Full"
thats,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
go,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive,"I Dunno (feat. Dutchavelli & Stormzy), No Time for Caution, Don't Panic"
yes,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
honey got us room woodford inn weekend,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
place vermont,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Positive,"Don't Panic, Play with Fire (feat. Yacht Money), 2 MUCH (feat. 24hrs)"
yeah,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
party,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
well cant party get back,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive,"Painkiller, Wait and Bleed, Royals"
day wont real birthday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Positive,"Bad Liar, Rain, Wrong"
cmon guys really important us,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
theres thing really want us read maxim,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Collar Full, Bonfire, Play with Fire (feat. Yacht Money)"
right well stay drive party,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive,"It's My Life, Whatever It Takes, Calm Down"
fine end maxim thing party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"Killing In The Name, New Rules, Middle Of A Breakup"
believe wont,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, B.Y.O.B."
know pheebs little birthday daddy would hide present every room house would draw treasure map help find em,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Positive,"Flashback, I Feel It Coming, Party Monster"
oooh love family traditions like uhm ursula kids birthday stepdad would sell blood buy us food,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Positive,"Kaer Morhen, Hotel California - 2013 Remaster, Disintegration - 2010 Remaster"
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
hey brought camera emmas video,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh good good idea make birthday video emma well give 18,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
oh cool wow like time capsule,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Positive,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch], Organ Variation, Flashback"
thats hope emma awake yet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
hey say something emma 18th birthday,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
hot friends,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Cotton Eye Joe"
see youll 52,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive,"Bonfire, Trndsttr, Collar Full"
starting think settling,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
hey joey please set people put emmas presents,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
id love yeah,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
yeah wrote emma song,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
oh yeah supposed know,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive,"Toxicity, Bleed, Chop Suey!"
joey birthday party,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
hey hey wheres birthday girl,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
oh sure probably night excited party knows happening,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
look know guys really want get vermont isnt really big deal really us ok emma never first birthday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Positive,"Wrong, Demons, Politik"
right youre right sorry lets wake emma get fun time started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
hi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
glad came,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
hey mr mrs geller let help,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"Hold, Often, Sweet Child O' Mine"
thank,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Waterloo, Alors on danse - Radio Edit, Safe To Say"
oh man great uh three us together know would fun gave present emma us,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
one,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Positive,"Beggin (original version), The Trooper (2015 Remaster), Déjà-Vu"
know gonna,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Positive,"Heaven and Hell - 2008 Remaster, Paranoid - 2012 - Remaster, Monster"
talents actor,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive,"Royals, It's My Life, Whatever It Takes"
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive,"Bonfire, Trndsttr, Collar Full"
hey think emma might like,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh emma might like,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
um present,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
get,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive,"Don't Panic, Into the Unknown - Panic! At The Disco Version, Take on Me"
actually prepared performances,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
separate performances,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
equally real,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
well sounds like fun well know actually people getting little antsy waiting emma wake nap would mind performing,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,Positive,"Play with Fire (feat. Yacht Money), LA Devotee, Trndsttr"
sure yeah,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh great,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
hey every week three cameras pointed whole crew waiting,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
joey gonna us,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
dramatic reading one emma’s books,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
oh ok one,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
thank much gift,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Waterloo, Alors on danse - Radio Edit, Safe To Say"
amazing amazing,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Beautiful Alien (feat. AI AM) - Radio Edit, Immigrant Song - Remaster, Rock You Like A Hurricane"
hello emma happy eighteenth birthday,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
yes you’ll grown we’ll well grandfather might,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Positive,"Everyday Life, Daddy, Wake Me up When September Ends"
ross um don’t forget get shot emma’s cake it’s box fridge,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
sure,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
oh youre gonna love cake got bakery new jersey corino’s,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
oh picture emma,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
yes cake shaped like bunny,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
oh it’s party,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
know youre thinking judy resemblance uncanny,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Rock You Like A Hurricane, Hotter Than Hell"
ordered ok went way new jersey could perfect cake daughter’s birthday need bunny cake right,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Positive,"Duality, Symphony Of Destruction - Remastered 2012, American Idiot"
fair,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
hey mon really nice loan rachel car could go get cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Party Monster, Blinding Lights, Savage Love (Laxed - Siren Beat)"
oh nice pull hair till dropped key,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Positive,"Friction, Symphony Of Destruction - Remastered 2012, In Waves"
hi emma year 2020 still enjoying nap,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"A Million Dreams, Pumped Up Kicks, Young Dumb & Broke"
know massage client soon,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive,"Don't Panic, Location, Collar Full"
alright 5 minutes,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"In Waves, Unsainted, Psychosocial"
emma,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive,"Bonfire, Trndsttr, Collar Full"
bathroom,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Collar Full, Bonfire, Play with Fire (feat. Yacht Money)"
well one emmas face,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Bleed, Toxicity"
anyway lovely seeing,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Hold, Yellow"
bye bye dear,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Hold, Yellow"
bye bye,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive,"Calm Down, Strawberry Swing, Don't Panic"
know turn way around right,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Positive,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off, One of the Drunks, Animals"
hello,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Positive,"Don't Panic, Cotton Eye Joe, Play with Fire (feat. Yacht Money)"
audition go today,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
yeah weve paid room supposed right,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Positive,"Chop Suey!, Sugar, Toxicity"
well oh ok one us stay emma ok person realized get go,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Can't Hold Us (feat. Ray Dalton), Moves Like Jagger, There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
oh got ok everyone pick number one ten alright whoever gets highest number gets go first,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
right,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
ok got wind toys emma birthday make race whoever comes last stays,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
ok want dolphin,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
thats bear,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Raining Blood, goosebumps"
im excited,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Blinding Lights, Someone In The Crowd, C'mon - Single Version"
ok mark get set go,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
go go,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
come robot,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
way go robot,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
good job alan,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
hey good race guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Temperature, Levitating, Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
yeah see later,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
rachel,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Positive,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch], Organ Variation, Flashback"
emmas awake,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Positive,"Young Dumb & Broke, Hold, Yellow"
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive,"Bleed, Bad Liar, Toxicity"
rach shes going remember,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Lose Yourself, Hall of Fame (feat. will.i.am), Not Afraid"
well im impressed,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, Young Dumb & Broke, Often"
game,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
ooh thats girl,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
teach impart wisdom,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Often, Titanium (feat. Sia), Immigrant Song - Remaster"
head canada,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
hey ross rachel back,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
yet,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive,"Attention, I Dunno (feat. Dutchavelli & Stormzy), Holy Wars...The Punishment Due - 2004 Remix"
oh good didnt miss party,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive,"Paradise, I Feel It Coming, Alors on danse - Radio Edit"
okay ross rachel ask ive whole time whole time,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"New Rules, Royals, Astronaut In The Ocean"
joey saw come ran past us stairs,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive,"Heaven and Hell - 2008 Remaster, Sugar, Toxicity"
dont care left im glad youre thanks guys,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Pumped Up Kicks, A Million Dreams, Young Dumb & Broke"
