Cleaned_Dialogue,Song Recommendations
actually i’m palian… dinosaurs fine… drawing isnot,Bleed
alright want emergency contact,Don't Panic
okay relationship boy could take,Bleed
come guys mean you’re gonna gettogether right,Smooth Criminal - 2012 Remaster
well thought said she’d marry,Katy Perry & Big Sean)
yeah that’s said,Party Monster
wow,Collar Full
yeah,Kaer Morhen
guys i’m best anyone else welcome try,Royals
alright i’ll try fine yes okay,Duality
yes i’m monica super aunt,Body (Remix) [feat. ArrDee
yes,ZT (3x3)
you’re never leaving apartment,Nightmare
say,Toxicity
oh can’t yelling,Bad Liar
we’re moving tulsa,Sandstorm
okay,Kaer Morhen
know really really want,Bonfire
really okay… monica,Hall of Fame (feat. will.i.am)
see bank statement right,Chop Suey!
oh youre finally something love cant ask give though itd nice thing love yknow finding gold,Young Dumb & Broke
wow idea much pride,Beautiful Alien (feat. AI AM) - Radio Edit
thats right im man im going get us situation even means working twice hard,Whatever It Takes
want stay,Hold
great okill go get tube top,Orinoco Flow
wow mike hanniganyou sure know make girl say hell yeah,Fivio Foreign & Darkoo]
yeah,Orinoco Flow
joeys apartment monica enters,Location
hey joey,Someone In The Crowd
hey,Cake By The Ocean
two thousand dollars,All We Know
yeah,Bleed
hi guys,Orinoco Flow
youre gonna,The Ballad of Mona Lisa
yeah dont think woman,American Idiot
oh women cant,Symphony Of Destruction - Remastered 2012
hardware store right street,Don't Panic
hardware store right street,Not Afraid
hey guys ok weve got great news,Fivio Foreign & Darkoo]
phoebe moving together,Someone In The Crowd
congratulationsgood yougreat,Someone In The Crowd
know exciting know ive never lived guy,Dance Off (feat. Idris Elba & Anderson .Paak)
yeah shes cute,B.Y.O.B.
yes dear,Location
bit guys,Play with Fire (feat. Yacht Money)
cant believe guys moving together thats thats great meanim happy guys,Blinding Lights
hear wedding bells,Blinding Lights
monica slow ok im excited living know mean dont know see someday married mike sure yeah yknowi picture walking aisle wedding dress highlights breasts obvious yet classy way want house connecticutyou knownear good schools mike send sophie mike junior oh god,ZT (3x3)
ready go,Enemy (with JID) - from the series Arcane League of Legends
yeah bet roomy,Buni
talking,Bleed
china patterns,We Are Young (feat. Janelle Monáe)
hey joe,Someone In The Crowd
yeah know,Lose Yourself
oh right,Hall of Fame (feat. will.i.am)
oh ok,Bleed
err kind,Build God
something personal,Bad Liar
well itsits crazy okay making smaller would crazy,Toxicity
oh alright well think reason people laugh becuase play word roomy,Feels (feat. Pharrell Williams
oh moving right see goes,Don't Panic
yeah well thats thing far ever go,Middle Of A Breakup
look phoebe ii love much never want get married,Heathens
oh wow,Immigrant Song - Remaster
oh,Bonfire
yeah get,Pumped Up Kicks
hi,Blinding Lights
thanks,Young Dumb & Broke
hey rach ismy perfectly proportioned wife,Symphony (feat. Zara Larsson)
thank,Kaer Morhen
love way look warm form,Girls / Girls / Boys
okyou know old classics knowyou look nice theyre still ok,Hotel California - 2013 Remaster
okay,Toxicity
really think thats,Build God
rosss apartment phoebe door,Take on Me
hi,Don't Panic
mike doesnt ever wanna get married,Free Bird - Edit
wow still going move,Heaven and Hell - 2008 Remaster
thats really feel,Chop Suey!
ok thats feel,Calm Down
come mean living together great mean guys much fun love mike,Let Me Love You
love mike,Hold
yeah see excited moving together know big deal,Sandstorm
yeah guess youre right yeah thanks helped thanks,Pumped Up Kicks
chandler monicas apartment chandler enters rachel monica seated table,I Feel It Coming
honey,Really Love (feat. Craig David & Digital Farm Animals)
yeah,Lose Yourself
ermim going change,Toxicity
im going get bigger,Can't Hold Us (feat. Ray Dalton)
honey love breasts way,Hold
man dont surprised hands feet get bigger,All We Know
theydo,Beautiful Alien (feat. AI AM) - Radio Edit
kind package deal,Houdini (feat. Swarmz & Tion Wayne)
thought something wanted,Build God
alright look means much may able get big boobs giant ass big clown feet,Build God
phoebes apartment ross helping packing phoebe mike also,I Feel It Coming
hey guys think better,There's a Good Reason These Tables Are Numbered Honey
cool,I Feel It Coming
hey pheebs know im im really glad came talk day hope little helpful,Savage Love (Laxed - Siren Beat)
oh yeah helpful yeah thanks,Toxicity
good good yeah coz thought realised dont think marriage neccessarily right path,Bleed
hey hey help,Fivio Foreign & Darkoo]
hey uh guys want,Don't Panic
right except want get married,Old Town Road
wanna get married,Into the Unknown - Panic! At The Disco Version
someday,Kaer Morhen
want live lets,Let Me Love You
gonna change,New Rules
yeah,Hall of Fame (feat. will.i.am)
bye bye mikecya mikebye mikebye bye,C'mon - Single Version
hey guys you’re gonna believe got thephone agent…,Immigrant Song - Remaster
okay got nominated part,Buni
joey,Someone In The Crowd
good,Often
congratulations wow can’t believe you’re nominated,Cake By The Ocean
oh,Toxicity
honey something you’re making,Build God
many scheduled appear,Hotter Than Hell
getting married,Politik
like,Build God
yes sir,Lose Yourself
what’d get,Enemy (with JID) - from the series Arcane League of Legends
seven,Don't Panic
that’s good,Somebody That I Used To Know
well maybe cut slack i’m sort love,Him & I
i’m love,Señorita
well brings loop little,Lose Yourself
go,Moves Like Jagger
phoebe i’m engaged,Follow
really fun,Safe To Say
really,Bleed
yeah,Hall of Fame (feat. will.i.am)
award practicing,Collar Full
oh hey listen soapie’s called today also get presentan award,Fivio Foreign & Darkoo]
ohh that’s great,Orinoco Flow
yeah,Orinoco Flow
yeah nono ii know might win it’s just…i’venever even nominated want much,It's Time
y’know,Don't Panic
oh,Heaven and Hell - 2008 Remaster
ah,Kaer Morhen
oh hey,Savage Love (Laxed - Siren Beat)
hey how’d date go jake,Collar Full
okayokay got got,The Ballad of Mona Lisa
like much feel like i’ve 10 drinkstoday i’ve six,Sugar Soaker
sound like guy,Toxicity
you’ll last kiss,Toothbrush
wanted tie tie,Heaven and Hell - 2008 Remaster
there’s kid class said he’s love,Sarah Smiles
whoa,Beautiful Alien (feat. AI AM) - Radio Edit
doi,Señorita
right,Don't Panic
how’d get teacher,Then We'll Talk
bye phoebe,Don't Panic
phoebe it’s okay don’t tip toe around meii’ve thinking umm y’know i’m okay nothaving new relationship feeling…,Strawberry Swing
yeah got speech,Can't Hold Us (feat. Ray Dalton)
joey remember win hug hug,Blinding Lights
okay squeeze ass,Build God
tv yeah,Cake By The Ocean
‘kay,Orinoco Flow
…in category favorite returning male character thenominees john wheeler,Bonfire
sure it’s verb behalfin’,Moves Like Jagger
joey got take back,Middle Of A Breakup
joey says best supporting actress,E1 (3x3)
scratch right,It's My Life
joey wrong take back okay don’twant win award way you’re talented someday you’re gonnawin one real,Ain't No Rest for the Wicked
right,Can't Feel My Face
i’ll take back tomorrow,Calm Down
thank,A Million Dreams
professor geller,Play with Fire (feat. Yacht Money)
i’m love,Let Me Love You
yeah i’m all…in love stuff could changemy grade,Toothbrush
well changed ned’s grade,Sugar
well that’s different okay actually love withme,The Hills
he’s got girlfriend,Beautiful Alien (feat. AI AM) - Radio Edit
know it’s awful love,Toothbrush
seen chandler,Holy Wars...The Punishment Due - 2004 Remix
phoebe come i’m serious got talk allthis,Trndsttr
you’re marrying,Duality
right i’ve never engaged i’ve never really beenmarried tell mother told whenever doubts fearsor anxieties relationship,I Dunno (feat. Dutchavelli & Stormzy)
correct yes you’re supposed take stuff andput little box mind lock tight,Calm Down
mother told,Toxicity
yes,Snow (Hey Oh)
okay waitwait pplease cool okay work woman,Paranoid - 2012 - Remaster
come,Hotter Than Hell
hey jessica,Buni
ah friend rachel,Young Dumb & Broke
hi,Don't Panic
absolutely,Pumped Up Kicks
honey get closer wedding anything wouldlike talk share,Señorita
okay well think centerpieces big,All We Know
kinda they’re really big,ME! (feat. Brendon Urie of Panic! At The Disco)
doesn’t ever freak thatthat you’re nevergonna anybody new,Pt. II
love much just…it’s sometimes bothersme i’m never gonna feeling y’know meet someone thefirst time it’s new exciting y’know rush,Stressed Out
okay right you’re guy freak thatyou’re never gonna sleep anybody else,Bleed
uh mr morse speak moment,Play with Fire (feat. Yacht Money)
‘cause know you’re trying pull okay it’snot gonna work,Astronaut In The Ocean
i’ll second,Not Afraid
hey ready go,Someone In The Crowd
doin,Build God
seen new alumni website college cool post messages people let everyone know youre,Orinoco Flow
great faster way tell people im unemployed childless,I Write Sins Not Tragedies
tall girl wouldnt sleep,I Write Sins Not Tragedies
let see wrote doctor paleontology,Smooth Criminal - 2012 Remaster
hey basketball,Alors on danse - Radio Edit
oh lot fun right chandler got finger eye,Body Moves
oh,Somebody That I Used To Know
joey sure mean know much love,Schism
rachel lets clear ok love hugsy like normal amount,Toxicity
right oh emma loves,Into the Unknown - Panic! At The Disco Version
wouldnt hes wonderful person,Girls / Girls / Boys
hi,Young Dumb & Broke
hey phoebe doin feelin better,Paradise
ok got,Levitating
really thats want,Bleed
believe read somewhere,You Just Haven't Thought of It Yet
respectfully disagree,Hall of Fame (feat. will.i.am)
cant believe put alumni page,B.Y.O.B.
youd better hope read put page today,Raining Blood
oh oh oh respectfully disagree,Royals
well heard emma stirring came make sure could reach hugsy,Young Dumb & Broke
would get please people calling congratulate day,Body (Remix) [feat. ArrDee
oh youll see friend,Dance Off (feat. Idris Elba & Anderson .Paak)
well died funny,Kaer Morhen
youve really crossed line thats okay ok cause im way buy photoshop software stack gay porn thats right coming get real graphic,Radioactive
okay mike would two,Attention
animals 4 oclock afternoon,Symphony Of Destruction - Remastered 2012
cell,Build God
yes,Free Bird - Edit
current cellphone,Lose Yourself
yes reminds simpler time,Calm Down
give,Friction
cant,Toxicity
give,Duality
phoebe come,Someone In The Crowd
haha,Fivio Foreign & Darkoo]
hey look whos joey brought home friend,We Are Young (feat. Janelle Monáe)
joey emmas right promised bring girls home middle day anymore,All We Know
girl brand new hugsy,E1 (3x3)
oh thats great emma two hugsys,Señorita
emma one hugsy new hugsy huh hugsy dont know guess ill take back,Rain
oh dont worry swallowed years ago,Roots
oh dont think likes new hugsy,All We Know
hes,Bad Liar
joey come,C'mon - Single Version
hes,Titanium (feat. Sia)
shoes,Hall of Fame (feat. will.i.am)
monica really appreciate checking im actually feeling lot better yeah kinda want alone right,Kaer Morhen
ordered chinese food,I Feel It Coming
phoebe called,Yellow
phoebe,Let Me Love You
look wanna see phoebe wants see,New Rules
sit,Astronaut In The Ocean
ive pretty good,Often
thanks look good,Often
oh dangerous territory keep clean,Paranoid - 2012 - Remaster
hows piano playing going,Lose Yourself
come know thats true,New Rules
original,Don't Panic
monica ok,Royals
thats monica,Toxicity
alright fine original hugsy know emma wants hes mine need,Psychosocial
yeah shes comforted loves uncle joey much,Symphony (feat. Zara Larsson)
really loves,Sweet Child O' Mine
ok wait wait wait wait minute wait minute mean rach mean hugsy means much emma well,Bad Liar
look forget forget cant,Then We'll Talk
gonna youre going take hugsy away little child,Eye For an Eye
think got first place,Can't Hold Us (feat. Ray Dalton)
cant harder mean known last time saw would last time would stopped memorize face way move everything known last time kissed would last time never would stopped,Sleepwalking
friend manny asked keep away,Ain't No Rest for the Wicked
hi thats im phoebe,Symphony (feat. Zara Larsson)
well good job,Symphony Of Destruction - Remastered 2012
whats kissing,Bad Liar
oh yeah yeah thank god oversee kissing,Paradise
hey moving youre heartless,Somebody That I Used To Know
go someone came,Blinding Lights
hi glad could come,Paradise
hi youre chandler bing right im tom gordon class,Hotel California - 2013 Remaster
oh yes yes let take coat,Often
guy tom gordon,Sugar
know ross well,Holy Wars...The Punishment Due - 2004 Remix
look like man,Chop Suey!
oh thats true impact mean 15 years later still best friends doesnt count something,Everglow
hi im ross gellers memorial service,Disintegration - 2010 Remaster
kori kori weston,Collar Full
yeah,Toxicity
wow look amazing,We Are Young (feat. Janelle Monáe)
married though,B.Y.O.B.
werent one class together great guy talked passionately science always remembered,City Of Stars
im sure would mean lot heaven door im sure hes pressing ear listening intently,Die For You
tell,Dance Off (feat. Idris Elba & Anderson .Paak)
tell tell,Dance Off (feat. Idris Elba & Anderson .Paak)
tell,Lose Yourself
look wont even look,All We Know
right right right last night dream uh youand,Sandstorm
wow,Savage Love (Laxed - Siren Beat)
exellent dream score,I Feel It Coming
would dream,Chop Suey!
importantly good,New Rules
well pretty damn good,Body (Remix) [feat. ArrDee
well last night seemed know way around table,Not Afraid
love share,Yellow
youre okay,Pumped Up Kicks
cant belive two sex dream,Heaven and Hell - 2008 Remaster
hello rachel,Lose Yourself
get,Duality
hey hey chan could work,Dance Off (feat. Idris Elba & Anderson .Paak)
could secretary,Whatever It Takes
could,Can't Hold Us (feat. Ray Dalton)
playing,Waterloo
oh new beeper,Into the Unknown - Panic! At The Disco Version
cool phone number possible name kid,Thunder
see young ethan,Someone In The Crowd
thank,A Million Dreams
young young ethan young,Toxicity
hes age,Toxicity
okay hes senior college,Not Afraid
college,Cotton Eye Joe
26,Not Afraid
go,Pumped Up Kicks
hear,Collar Full
im meeting im right whoops,Toxicity
ross says hi,Don't Panic
ah,Collar Full
fun right,C'mon - Single Version
well actually get work,Don't Panic
okay,Not Afraid
right bye bye,A Million Dreams
bye bye,A Million Dreams
whatcha doin,Alors on danse - Radio Edit
could tonight night,Sandstorm
dont know look hes great guy love youknow things happen happen dont plan things,Sarah Smiles
yeah,Don't Panic
oh oh oh oh oh oh god baby time baby time,C'mon - Single Version
right relax relax relax relax cool cool,Don't Panic
hey hey first day,Free Bird - Edit
oh exellent everyone nice,Alors on danse - Radio Edit
oh know dont like,I Bet My Life
thought knew,Immigrant Song - Remaster
talking,Bleed
cant belive,Immigrant Song - Remaster
yeah yeah even,Bleed
oh oh chandler,Cake By The Ocean
oh yeah,Astronaut In The Ocean
hills alive sound,Snow (Hey Oh)
okay dont sound like,B.Y.O.B.
possible,Chop Suey!
yeah id really like,Alors on danse - Radio Edit
okay like early class tomorrow im secretlymarried goat,Toxicity
ethan,Don't Panic
yeah,Heaven and Hell - 2008 Remaster
well thats kids calling days yes iam uh ive kinda waiting right person,C'mon - Single Version
really,Kaer Morhen
yeah know talking right,Astronaut In The Ocean
keep saying,Bad Liar
know read see movies even whenyou practice home man oh man nothing like,Duality
listen uh told something really difficult andi ii figured could honest,Royals
nono nothing wrong,Lose Yourself
oh,Toxicity
um okay goes im 22 im im 25 thirteen months,Chop Suey!
youre senior,Toxicity
okay,Bad Liar
sex,Levitating
ethan focus could tell,Friction
well never told old,Toxicity
love,Señorita
oh come told last dream,Kaer Morhen
oh anything particularly saucy,Lose Yourself
three us,Lose Yourself
tell like chandler andme chandler,Bad Liar
ethan called,Take on Me
seeing anymore,Free Bird - Edit
oh yeah,Young Dumb & Broke
haha ha oh life amusing could drop,Savage Love (Laxed - Siren Beat)
morphin time,You Just Haven't Thought of It Yet
stegosaurus,Toothbrush
going,Don't Panic
know thats part whole knowthemnotlikingyouextravaganza,Chop Suey!
well come tonight know hang themlet see great guy still,Fivio Foreign & Darkoo]
think,The Ballad of Mona Lisa
really yeah,Often
oh could go together ii dont wanna geek thatinvited boss,I Bet My Life
think last night great know karaoke thing tracy idoing,I Feel It Coming
great still made fun,Middle Of A Breakup
know youre like know like mr caringboss,Levitating
well know chandler think youve gotta face youre likethe guy big office know youre one hires fires themthey still say youre great boss,Hall of Fame (feat. will.i.am)
uh huh theyre friends anymore,Ain't No Rest for the Wicked
want,Pumped Up Kicks
cant,Bleed
wa,Demons
andré,Toxicity
hey,Kaer Morhen
gonna opener,The Ballad of Mona Lisa
thought rumour,Sugar
true story,You Just Haven't Thought of It Yet
right look ive gotta tell something im 17 onlysaid youd think cute vunerable im actually 30 wife havea job im congressman monica ridiculous great together cantalk make laugh sex oh man okay frame graft ithought great,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
love,Hold
hello mr bing,Whatever It Takes
loved stevie wonder last night,Symphony (feat. Zara Larsson)
sure,Lose Yourself
give em something know okay gerstonsantos whos guy moustache,Cotton Eye Joe
petrie,Boss Bitch
petrie right right okay people gonna working,Smooth Criminal - 2012 Remaster
ross,Heaven and Hell - 2008 Remaster
im,Not Afraid
well um wow,Immigrant Song - Remaster
yeah save cab okay,Royals
ride,Collar Full
yeah like cab,Free Bird - Edit
save,B.Y.O.B.
monica come lets go baby coming,Buni
cant belive im gonna aunt im gonna like nephew,Blinding Lights
thats nice get lets go come,New Rules
right im going im going,Whatever It Takes
go go,Thunder
rossy rossy,Hold
okay i’m gonna one,I Write Sins Not Tragedies
it’s tooth,Bleed
what’s matter need dentist i’ve got good one,Whatever It Takes
thanks good one can’t see,Toxicity
promise,Moves Like Jagger
although don’t feel like can’t visit,Strawberry Swing
want watch ben,Often
yes that’s going ask thank,Not Afraid
heyhey ross,Cake By The Ocean
yeah,Don't Panic
heyhey i’m judging,Lose Yourself
he’s gonna say anything we’re gonna tell,Royals
we’re,Bleed
we’re,Toxicity
right like,Young Dumb & Broke
okay,Free Bird - Edit
cannot push,Toxicity
okay okay okay,Moves Like Jagger
got,ZT (3x3)
gonna find tiny little hat,Chop Suey!
give give,I Dunno (feat. Dutchavelli & Stormzy)
oh,Trndsttr
i’d really prefer mountain bike,Old Town Road
that’s good idea ‘dear janice hubbabubbabirthday’ would like get something serious,Symphony (feat. Zara Larsson)
oh god uh okay here’s thing thing okay thething,Bad Liar
thing,Sugar
office,Don't Panic
i’m telling man saw,Rock You Like A Hurricane
makes sense ensemble,Whatever It Takes
right,Bleed
besides takes focus hat,Bad Liar
sure money go ahead,Royals
monica,Don't Panic
okay heard,Kaer Morhen
okay,Kaer Morhen
oh yeah yknow it’s headboard it’s worthit,Boss Bitch
right,Can't Feel My Face
know,Beautiful Alien (feat. AI AM) - Radio Edit
joey told saw two kissing,Bleed
park,Play with Fire (feat. Yacht Money)
office many kisses,Chop Suey!
two,I Feel It Coming
receipt,Bad Liar
said number two,Not Afraid
also said number one,Moves Like Jagger
hi,Alors on danse - Radio Edit
how’s little boy,Señorita
he’s perfect he’s never better,Often
oh god said name that’s great good job ben,We Are Young (feat. Janelle Monáe)
right call somebody,Free Bird - Edit
well gotta find he’s alive,Into the Unknown - Panic! At The Disco Version
gonna there’s way,Toxicity
well one way window’s open say poke,Dance Off (feat. Idris Elba & Anderson .Paak)
well got reason,Can't Hold Us (feat. Ray Dalton)
right,Not Afraid
hey uh what’s matter,Bad Liar
talked janice,Don't Panic
doesn’t know says loves us yknow woke thismorning love well happy yknow serves right buying thattwelve pack condoms can’t even return choked thereciept,Done for Me (feat. Kehlani)
ah gonna,Chop Suey!
come tell,Someone In The Crowd
it’s okay bumps head kids bump heads timeyknow first time babysitting figured best could,Calm Down
know i’m saying watch time,Astronaut In The Ocean
monica,Chop Suey!
monica,2 MUCH (feat. 24hrs)
really,High Hopes
hope it’s still funny you’re hell,B.Y.O.B.
wow,Cake By The Ocean
yeah well it’s right thing,It's My Life
oh you’re right oh god say‘goodbye’ there’s something really need know chandler wayi feel it’s like finally understand lionel richie’s beensinging yknow mean it’s like movie love you’re mysoulmate can’t believe we’re going spending rest ourlives together,Setting Fires
right right mean iii’ve got give mymarriage another chance,Bad Liar
honey honey people looking,Yellow
rachel burgendy,Don't Panic
right remember something big long going bedifficult manuver fortunately lot experience area,There's a Good Reason These Tables Are Numbered Honey
please focus naked man’s life hangs balance,Paranoid - 2012 - Remaster
he’s alive he’s alive,Savage Love (Laxed - Siren Beat)
look happy,Nothing Else Matters
hey that’s never gonna make way buddy,Astronaut In The Ocean
okay,Young Dumb & Broke
eyes closed we’re cross street verygood,The Ballad of Mona Lisa
okayyyyy open,Dance Off (feat. Idris Elba & Anderson .Paak)
want show us see,Toxicity
yeah it’s catering business,Can't Hold Us (feat. Ray Dalton)
think know girl,Dance Off (feat. Idris Elba & Anderson .Paak)
right umm we’re gonna really keep way though,Toxicity
oh,Collar Full
oh yeah definitely know,Young Dumb & Broke
oh sure cilantro larry,A Million Dreams
well i’m gonna fill food critic chelseareporter,There's a Good Reason These Tables Are Numbered Honey
wow monica amazing opportunity influence… dozens ofpeople,High Hopes
could say yes catering business,Chop Suey!
yay,Snow (Hey Oh)
oh,Don't Panic
dude,Fivio Foreign & Darkoo]
wow okay dude alert guy,Heaven and Hell - 2008 Remaster
mike gandolf ganderson,Toxicity
i’m gonna call,Dance Off (feat. Idris Elba & Anderson .Paak)
woooo,Cake By The Ocean
joey gonna love guy gandolf like party wizard,Buni
well call gandolf,Bleed
sex high school,Organ Variation
really well case…,Immigrant Song - Remaster
that’s fine actually i’m hiring committee sothere’ll least one friendly face,Can't Hold Us (feat. Ray Dalton)
ohh that’s great,Savage Love (Laxed - Siren Beat)
really,Collar Full
well umm…,Bleed
kidding god feel wild today,Temperature
calm he’s human guy,I Write Sins Not Tragedies
oh yeah it’s beautiful country,Hold
it’s gonna,Toxicity
right i’ll see guys,Calm Down
somewhere maybe along equator,Don't Panic
happened,High Hopes
ohh man chicago sooo lucky,Alors on danse - Radio Edit
impressive resume ms green especially like whati see implementing new filing system,Boss Bitch
thank,Young Dumb & Broke
notice you’ve trusted lot ratherimportant responsibilities,It's My Life
yes joanna really incredible mentor,Blinding Lights
oh rachel really incredible getting morning bagelfor it’s amazing gets right almost,Young Dumb & Broke
iii course responsibilities,Treat You Better
yes that’s good uh big part job iscultivating personal relationships especially designers,Dance Off (feat. Idris Elba & Anderson .Paak)
yes realize that…,Bleed
love working designers,Señorita
what’s difference eh rach,Toxicity
hey first review,C'mon - Single Version
right look back page,Smooth Criminal - 2012 Remaster
oh need go,Blinding Lights
it’s allesandro allesandro’s,Houdini (feat. Swarmz & Tion Wayne)
want talk review,Bad Liar
look ii’m never gonna let may well go away,Eye For an Eye
give chance too…,Whatever It Takes
phoebe,Demons
hey monica,Blinding Lights
well said except,Toxicity
hey i’m proud sauce it’s delicious,Pumped Up Kicks
thought went well,Titanium (feat. Sia)
would make think,Bleed
well things said interview mean youbelieve must good assistant y’know,Build God
that’s said things flirting yourdrinking…,Eye For an Eye
said exactly,Hall of Fame (feat. will.i.am)
enjoyed occasional drink…ing binge,Baby Blue - Remastered 2010
waitwaitwaitwaitwaitwaitwaitwait you’re gonna get allsensitive don’t want lose create position youi’ll make assistant buyer department,Play with Fire (feat. Yacht Money)
say things like,Often
office raise effective tomorrow,Orinoco Flow
done,Hotter Than Hell
assistant,Smooth Criminal - 2012 Remaster
hey guys thought you’d partyingwith gandelworf,Chop Suey!
it’s gandolf he’s coming,I Bet My Life
you’ve sittin’ around mornin’,Bad Liar
balanced checkbook,New Rules
yeah ii gave first names foosball players,Alors on danse - Radio Edit
ohno y’know gandolf we’d,Toxicity
yeah we’d meet we’d meet total strangers hang withthem,C'mon - Single Version
well could,Orinoco Flow
there’s stuff,Take on Me
yeah,Buni
yeah,Orinoco Flow
yeah right let’s go,ZT (3x3)
yeah,Snow (Hey Oh)
right,Can't Feel My Face
yeah,Free Bird - Edit
well seals man,Hall of Fame (feat. will.i.am)
hey pheebs quick question ya,Blinding Lights
yes,Snow (Hey Oh)
okay day good news got us job weddingreception,Snow (Hey Oh)
yeah saying,E1 (3x3)
got offered head chef job allesandro’s,Temperature
it’s okay ‘cause yknow don’t really need mefor business,Unsainted
i’m assistant buyer,There's a Good Reason These Tables Are Numbered Honey
right we’ll get little coffee get energized andwe’ll head back,Alors on danse - Radio Edit
yeah right,Calm Down
okay,Don't Panic
we’re fun right,Alors on danse - Radio Edit
i’m kinda beat,I Bet My Life
actually,Sparks
serious,Friction
guys want coffees,Collar Full
yeah,Pumped Up Kicks
yeah know,Kaer Morhen
like go home throw kenny g take bath,Often
we’re 29 we’re women,Bad Liar
okay i’m hearing,In Waves
pizza,Someone In The Crowd
monica,Cake By The Ocean
y’know let’s catering business,ZT (3x3)
really sure,Kaer Morhen
yeah yknow ii made commitment y’know it’dbe it’d fun,Ride
oh,Bonfire
besides might kinda fun form new ateam,Thunder
oh hi mrs lynch joanna already,Blinding Lights
oh goodness haven’t heard,Collar Full
heard,Toxicity
know,Moves Like Jagger
didn’t realize close,Toxicity
yes,Young Dumb & Broke
nothing imagine stepped curb fewseconds later,Monster
know,Hall of Fame (feat. will.i.am)
phoebe making people,I Feel It Coming
everybody’s stuff,Sandstorm
yeah,Buni
hey,Cake By The Ocean
we’re gonna climb mt everest,There's a Good Reason These Tables Are Numbered Honey
yeah baby,ZT (3x3)
yeah could without y’know risking lives,There's a Good Reason These Tables Are Numbered Honey
guys’ll stay hang,Alors on danse - Radio Edit
yeah yeah,Young Dumb & Broke
yeah,E1 (3x3)
decide uncle nathan get invite,Chop Suey!
yeah they’re fine,Not Afraid
yeah,Rock You Like A Hurricane
sure,Whatever It Takes
really,Toxicity
yeah sure,Not Afraid
huh yeah fine invite whoever want,Lose Yourself
rachel,Trndsttr
hi sure,Often
hi,A Million Dreams
knew,No Time for Caution
yeah maybe,Free Bird - Edit
okay okay maybe,I Dunno (feat. Dutchavelli & Stormzy)
see see big passion future,Thunder
oh ross youre great,Sweet Child O' Mine
okay,Lose Yourself
okay umm ive wanting um,Nearly Witches (Ever Since We Met...)
yes yes thats right,Can't Hold Us (feat. Ray Dalton)
oh look little cat look,Cake By The Ocean
incredible brand new woman ladies gentlemen,ZT (3x3)
right tell ever feelings,Eye For an Eye
great julie found,Somebody That I Used To Know
hey doin great found think easyfor see julie,Rolling in the Deep
point dont need right ok late imwith somebody else im happy ship sailed,I Don’t Wanna Live Forever (Fifty Shades Darker)
alright fine go ahead alright ross,Toxicity
fine,I Write Sins Not Tragedies
good,Not Afraid
ross realise first time life i’m doingsomething actually care first time life i’m doingsomething i’m actually good mean don’t get,Levitating
mark,Then We'll Talk
okay it’s it’s,Bleed
oh god cannot keep fight againross you’re you’re you’re making hard,Sugar
oh i’m i’m making hard okay want todo,Build God
that’s great guys,Orinoco Flow
good luck girlfriend,It's My Life
hi ohhh got message,We Are Young (feat. Janelle Monáe)
yeah oh hey right time,Often
yes much,Moves Like Jagger
get,Nightmare
wanna stay wanna talk,Wrong
okay right,Someone In The Crowd
good,Play with Fire (feat. Yacht Money)
good good,Don't Let The Light Go Out
different,Sugar
good different,Collar Full
okay okay okay okay,Bleed
seem really like,Let Me Love You
think,New Rules
hey you’re right,Often
yeah,Don't Panic
ohh soo amazing can’t believe brother’s gettingmarried london it’s romantic,Señorita
hey hey get invitation ross’s wedding,Bonfire
don’t worry man get bring guest we’ll show,You Just Haven't Thought of It Yet
i’m jealous you’re going can’t believe neverknew can’t fly third trimester,Beautiful Alien (feat. AI AM) - Radio Edit
what’s ross’s wedding invitation,Rock You Like A Hurricane
oh guys come don’t i’mhappy really—i’mi’m happ—i’ll work,Sparks
know would real weird weren’t justsay you’ll think okay,Play with Fire (feat. Yacht Money)
i’ll think yeah,Royals
oh thats rosss,Lose Yourself
remembered,Bad Liar
cant believe,I Don’t Wanna Live Forever (Fifty Shades Darker)
say,Sugar
well ross grad school together,Baby Blue - Remastered 2010
rach got message,Sugar
youre,Ain't No Rest for the Wicked
broke julie well go hug gods sakes,Ain't No Rest for the Wicked
oh ok worth wait dont mean tonight,Hold
ah oh god oh honey oh thats ok,Die For You
oh rolled juice box,Duality
yknow hey you’re one ended remember,Hurricane
yeah,Pumped Up Kicks
still love,Mr. Brightside
feel ii,Then We'll Talk
hey know it’s,Temperature
knew,Immigrant Song - Remaster
know us getting ready prom,Bonfire
oh,Toxicity
oh yeah cmon,Fivio Foreign & Darkoo]
oh dad turn,Pull Me Under
lookin good mr cotter,Often
ok fine well im gonna watch alright,All We Know
lets show em,There's a Good Reason These Tables Are Numbered Honey
oh dear jack turn,Bleed
yeah well,Toxicity
see hes lobster,Let Me Love You
yeah it’s gonna hard y’know mean it’sross watch get married y’know it’s it’s besty’know it’s… y’know plus somebody’s got stay herewith phoebe y’know she’s gonna pretty big needs someone tohelp tie shoes drive hospital case goes labour,Demons
wait go want know love agreat time honeymoon can’t wait go spend rest ofour life together,Señorita
hi,Can't Feel My Face
hi sweetie,Señorita
come,Body (Remix) [feat. ArrDee
honeymoon,Yellow
oh much fun best part met incredible couple onthe way back,Señorita
really cool honeymoon,Symphony (feat. Zara Larsson)
they’re terrific live right city,Pumped Up Kicks
